slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_clients,ppc,fpp,segments,xfer_size,block_size,cont_rf,iterations,notes,status,write_gib,read_gib
3002137,ior_easy_1to4_2gx,2021-05-26 17:52:02,2021-05-26 17:57:56,47943ae,RP_2GX,2,8,32,,,,,,,,Pass,10.77,21.73
3002144,ior_easy_1to4_2gx,2021-05-26 17:52:02,2021-05-26 17:58:49,47943ae,RP_2GX,4,16,32,,,,,,,,Pass,20.65,45.04
3002145,ior_easy_1to4_2gx,2021-05-26 18:00:45,2021-05-26 18:08:42,47943ae,RP_2GX,8,32,32,,,,,,,,Pass,40.55,88.65
3002215,ior_easy_1to4_3gx,2021-05-26 19:18:51,2021-05-26 19:24:15,47943ae,RP_3GX,4,16,32,,,,,,,,Pass,13.56,44.41
3002226,ior_easy_1to4_3gx,2021-05-26 19:26:57,2021-05-26 19:32:42,47943ae,RP_3GX,8,32,32,,,,,,,,Pass,26.73,87.77
2988586,ior_easy_1to4_sx,2021-05-20 16:03:04,2021-05-20 16:10:05,47943ae,SX,1,4,32,,,,,,,,Pass,11.31,11.41
2992108,ior_easy_1to4_sx,2021-05-22 16:04:24,,47943ae,SX,16,64,32,,,,,,,"did not finish,read failed",Fail,160.16,0.00
2988585,ior_easy_1to4_sx,2021-05-20 16:03:04,2021-05-20 16:11:10,47943ae,SX,2,8,32,,,,,,,,Pass,21.68,22.76
2988588,ior_easy_1to4_sx,2021-05-20 16:03:04,2021-05-20 16:11:36,47943ae,SX,4,16,32,,,,,,,,Pass,41.57,44.72
2988587,ior_easy_1to4_sx,2021-05-20 16:45:08,2021-05-20 16:52:57,47943ae,SX,8,32,32,,,,,,,,Pass,81.84,89.46
3002139,ior_easy_c16_2gx,2021-05-26 17:52:00,2021-05-26 17:58:24,47943ae,RP_2GX,16,16,32,,,,,,,,Pass,67.39,143.16
3002143,ior_easy_c16_2gx,2021-05-26 17:52:02,2021-05-26 17:57:52,47943ae,RP_2GX,2,16,32,,,,,,,,Pass,10.13,22.42
3002142,ior_easy_c16_2gx,2021-05-26 17:52:02,2021-05-26 17:58:06,47943ae,RP_2GX,32,16,32,,,,,,,,Pass,83.17,149.57
3002140,ior_easy_c16_2gx,2021-05-26 17:52:02,2021-05-26 17:58:32,47943ae,RP_2GX,4,16,32,,,,,,,,Pass,21.05,44.77
3002138,ior_easy_c16_2gx,2021-05-26 17:52:00,2021-05-26 17:58:06,47943ae,RP_2GX,64,16,32,,,,,,,,Pass,81.75,151.24
3002141,ior_easy_c16_2gx,2021-05-26 17:52:02,2021-05-26 17:59:38,47943ae,RP_2GX,8,16,32,,,,,,,,Pass,38.68,88.68
3002219,ior_easy_c16_3gx,2021-05-26 19:18:51,2021-05-26 19:24:43,47943ae,RP_3GX,16,16,32,,,,,,,,Pass,43.33,141.37
3002220,ior_easy_c16_3gx,2021-05-26 19:18:51,2021-05-26 19:24:30,47943ae,RP_3GX,32,16,32,,,,,,,,Pass,50.99,141.87
3002218,ior_easy_c16_3gx,2021-05-26 19:09:27,2021-05-26 19:15:03,47943ae,RP_3GX,64,16,32,,,,,,,,Pass,56.90,141.84
3002228,ior_easy_c16_3gx,2021-05-26 19:30:54,2021-05-26 19:37:16,47943ae,RP_3GX,8,16,32,,,,,,,,Pass,25.82,87.67
2988669,ior_easy_c16_sx,2021-05-20 16:51:26,2021-05-20 17:01:11,47943ae,SX,1,16,32,,,,,,,,Pass,11.40,11.39
2998694,ior_easy_c16_sx,2021-05-25 15:59:36,2021-05-25 16:02:27,47943ae,SX,128,16,32,,,,,,,"write failed,read failed",Fail,0.00,0.00
2992106,ior_easy_c16_sx,2021-05-22 15:11:20,2021-05-22 15:18:24,47943ae,SX,16,16,32,,,,,,,,Pass,129.44,153.67
2988671,ior_easy_c16_sx,2021-05-20 16:58:05,2021-05-20 17:05:12,47943ae,SX,2,16,32,,,,,,,,Pass,21.94,22.77
2998499,ior_easy_c16_sx,2021-05-25 11:18:33,2021-05-25 11:25:18,47943ae,SX,32,16,32,,,,,,,,Pass,170.36,148.73
2998613,ior_easy_c16_sx,2021-05-25 11:42:29,2021-05-25 11:49:43,47943ae,SX,64,16,32,,,,,,,,Pass,159.36,129.34
2988670,ior_easy_c16_sx,2021-05-20 16:55:52,2021-05-20 17:03:23,47943ae,SX,8,16,32,,,,,,,,Pass,78.30,89.60
3002222,ior_hard_1to4_2gx,2021-05-26 18:39:35,2021-05-26 18:44:43,47943ae,RP_2GX,2,8,32,,,,,,,,Pass,4.89,12.95
3002223,ior_hard_1to4_2gx,2021-05-26 19:22:49,2021-05-26 19:28:01,47943ae,RP_2GX,4,16,32,,,,,,,,Pass,9.39,24.56
3002227,ior_hard_1to4_2gx,2021-05-26 19:29:05,2021-05-26 19:34:32,47943ae,RP_2GX,8,32,32,,,,,,,,Pass,18.04,45.56
3009062,ior_hard_1to4_3gx,2021-05-28 10:03:44,2021-05-28 10:08:47,47943ae,RP_3GX,4,16,32,,,,,,,,Pass,5.23,19.93
3009061,ior_hard_1to4_3gx,2021-05-28 13:11:17,2021-05-28 13:16:27,47943ae,RP_3GX,8,32,32,,,,,,,,Pass,9.85,37.38
2988674,ior_hard_1to4_sx,2021-05-20 16:42:54,2021-05-20 16:48:48,47943ae,SX,1,4,32,,,,,,,,Pass,5.29,6.72
2992107,ior_hard_1to4_sx,2021-05-22 14:22:02,,47943ae,SX,16,64,32,,,,,,,"did not finish,read failed",Fail,70.03,0.00
2988673,ior_hard_1to4_sx,2021-05-20 16:42:54,2021-05-20 16:49:06,47943ae,SX,2,8,32,,,,,,,,Pass,10.11,8.45
2988676,ior_hard_1to4_sx,2021-05-20 17:02:49,2021-05-20 17:08:56,47943ae,SX,4,16,32,,,,,,,,Pass,19.46,24.99
2988675,ior_hard_1to4_sx,2021-05-20 17:16:49,2021-05-20 17:23:13,47943ae,SX,8,32,32,,,,,,,,Pass,37.25,47.48
3002217,ior_hard_c16_2gx,2021-05-26 19:18:51,2021-05-26 19:24:05,47943ae,RP_2GX,16,16,32,,,,,,,,Pass,29.35,71.78
3002224,ior_hard_c16_2gx,2021-05-26 19:22:49,2021-05-26 19:28:00,47943ae,RP_2GX,2,16,32,,,,,,,,Pass,4.53,12.66
3002225,ior_hard_c16_2gx,2021-05-26 19:26:57,2021-05-26 19:32:20,47943ae,RP_2GX,32,16,32,,,,,,,,Pass,44.68,92.77
3002216,ior_hard_c16_2gx,2021-05-26 19:09:27,2021-05-26 19:15:15,47943ae,RP_2GX,64,16,32,,,,,,,,Pass,54.99,99.52
3002221,ior_hard_c16_2gx,2021-05-26 19:22:49,2021-05-26 19:28:00,47943ae,RP_2GX,8,16,32,,,,,,,,Pass,17.36,45.82
3009059,ior_hard_c16_3gx,2021-05-28 11:02:41,2021-05-28 11:07:47,47943ae,RP_3GX,16,16,32,,,,,,,,Pass,18.28,63.47
3009548,ior_hard_c16_3gx,2021-05-28 13:39:55,2021-05-28 13:45:11,47943ae,RP_3GX,32,16,32,,,,,,,,Pass,31.59,89.64
3009547,ior_hard_c16_3gx,2021-05-28 13:32:43,2021-05-28 13:38:18,47943ae,RP_3GX,64,16,32,,,,,,,,Pass,46.80,102.17
3009060,ior_hard_c16_3gx,2021-05-28 10:05:05,2021-05-28 10:10:05,47943ae,RP_3GX,8,16,32,,,,,,,,Pass,10.01,38.39
2988716,ior_hard_c16_sx,2021-05-20 17:07:15,2021-05-20 17:13:26,47943ae,SX,1,16,32,,,,,,,,Pass,5.18,6.60
2998692,ior_hard_c16_sx,2021-05-25 15:17:06,2021-05-25 15:23:14,47943ae,SX,128,16,32,,,,,,,,Pass,68.25,90.55
2992105,ior_hard_c16_sx,2021-05-22 14:22:02,2021-05-22 14:27:52,47943ae,SX,16,16,32,,,,,,,,Pass,57.07,72.31
2988715,ior_hard_c16_sx,2021-05-20 17:07:15,2021-05-20 17:13:31,47943ae,SX,2,16,32,,,,,,,,Pass,10.16,12.64
2998498,ior_hard_c16_sx,2021-05-25 11:18:33,2021-05-25 11:24:44,47943ae,SX,32,16,32,,,,,,,,Pass,77.53,96.36
2998612,ior_hard_c16_sx,2021-05-25 11:42:29,2021-05-25 11:48:36,47943ae,SX,64,16,32,,,,,,,,Pass,77.91,104.31
2988717,ior_hard_c16_sx,2021-05-20 17:12:03,2021-05-20 17:18:15,47943ae,SX,8,16,32,,,,,,,,Pass,36.39,46.33
