slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_clients,ppc,fpp,segments,xfer_size,block_size,cont_rf,iterations,notes,status,sw_time,write_gib,read_gib
3103064,ior_easy_1to4_sx,2021-06-15 12:45:31,2021-06-15 12:50:31,9fc56c0,SX,1,4,32,,1,1M,150G,0,1,,Pass,60,3.68,11.30
3103065,ior_easy_1to4_sx,2021-06-15 12:52:30,2021-06-15 12:57:47,9fc56c0,SX,2,8,32,,1,1M,150G,0,1,,Pass,60,7.31,22.47
3103055,ior_easy_1to4_sx,2021-06-15 12:47:48,2021-06-15 12:53:18,9fc56c0,SX,4,16,32,,1,1M,150G,0,1,,Pass,60,14.57,44.56
3103058,ior_easy_1to4_sx,2021-06-15 12:45:31,2021-06-15 12:51:14,9fc56c0,SX,8,32,32,,1,1M,150G,0,1,,Pass,60,28.47,86.96
3103061,ior_easy_c16_sx,2021-06-15 12:47:48,2021-06-15 12:53:11,9fc56c0,SX,1,16,32,,1,1M,150G,0,1,,Pass,60,3.58,11.31
3103063,ior_easy_c16_sx,2021-06-15 12:47:48,2021-06-15 12:53:03,9fc56c0,SX,2,16,32,,1,1M,150G,0,1,,Pass,60,7.22,22.33
3103060,ior_easy_c16_sx,2021-06-15 12:45:31,2021-06-15 12:50:54,9fc56c0,SX,8,16,32,,1,1M,150G,0,1,,Pass,60,29.10,87.13
3103056,ior_easy_c16_sx,2021-06-15 12:45:31,2021-06-15 12:50:51,9fc56c0,SX,16,16,32,,1,1M,150G,0,1,,Pass,60,57.79,154.88
3103057,ior_easy_c16_sx,2021-06-15 12:45:31,2021-06-15 12:51:29,9fc56c0,SX,32,16,32,,1,1M,150G,0,1,,Pass,60,105.70,160.15
3103062,ior_easy_c16_sx,2021-06-15 12:54:42,2021-06-15 13:01:30,9fc56c0,SX,64,16,32,,1,1M,150G,0,1,,Pass,60,161.97,149.41
3103512,ior_hard_1to4_sx,2021-06-15 14:19:05,2021-06-15 14:24:34,9fc56c0,SX,1,4,32,,2000000,47008,47008,0,1,,Pass,60,5.17,10.33
3103516,ior_hard_1to4_sx,2021-06-15 14:23:13,2021-06-15 14:28:31,9fc56c0,SX,2,8,32,,2000000,47008,47008,0,1,,Pass,60,9.83,20.73
3103508,ior_hard_1to4_sx,2021-06-15 14:39:27,2021-06-15 14:45:06,9fc56c0,SX,4,16,32,,2000000,47008,47008,0,1,,Pass,60,18.54,36.57
3103515,ior_hard_1to4_sx,2021-06-15 14:41:28,2021-06-15 14:47:16,9fc56c0,SX,8,32,32,,2000000,47008,47008,0,1,,Pass,60,35.16,67.35
3103513,ior_hard_c16_sx,2021-06-15 14:41:28,2021-06-15 14:46:56,9fc56c0,SX,1,16,32,,2000000,47008,47008,0,1,,Pass,60,5.10,10.62
3103514,ior_hard_c16_sx,2021-06-15 14:43:32,2021-06-15 14:49:02,9fc56c0,SX,2,16,32,,2000000,47008,47008,0,1,,Pass,60,9.84,20.58
3103510,ior_hard_c16_sx,2021-06-15 14:23:13,2021-06-15 14:28:38,9fc56c0,SX,8,16,32,,2000000,47008,47008,0,1,,Pass,60,34.93,71.67
3103511,ior_hard_c16_sx,2021-06-15 14:55:05,2021-06-15 15:00:46,9fc56c0,SX,16,16,32,,2000000,47008,47008,0,1,,Pass,60,54.41,98.94
3103509,ior_hard_c16_sx,2021-06-15 14:31:22,2021-06-15 14:37:32,9fc56c0,SX,32,16,32,,2000000,47008,47008,0,1,,Pass,60,73.57,102.46
3103814,ior_hard_c16_sx,2021-06-15 18:09:06,2021-06-15 18:15:28,9fc56c0,SX,64,16,32,,2000000,47008,47008,0,1,,Pass,60,73.75,101.16
