slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_clients,ppc,fpp,segments,xfer_size,block_size,cont_rf,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
3279814,ior_easy,2021-07-14 19:49:25,2021-07-14 19:58:40,e1da9ff,SX,1,16,32,,1,1M,150G,0,1048576,1,,Pass,60,11.40,11.12
3279816,ior_easy,2021-07-14 19:05:08,2021-07-14 19:12:05,e1da9ff,SX,1,4,32,,1,1M,150G,0,1048576,1,,Pass,60,11.30,10.83
3279815,ior_easy,2021-07-14 21:29:26,2021-07-14 21:36:06,e1da9ff,SX,2,8,32,,1,1M,150G,0,1048576,1,,Pass,60,21.63,22.17
3279817,ior_easy,2021-07-14 21:31:06,2021-07-14 21:39:26,e1da9ff,SX,2,16,32,,1,1M,150G,0,1048576,1,,Pass,60,21.83,21.95
3286122,ior_easy,2021-07-15 19:53:53,2021-07-15 19:59:23,e1da9ff,RP_2GX,2,16,32,,1,1M,150G,0,1048576,1,,Pass,60,10.83,21.25
3286125,ior_easy,2021-07-15 17:11:03,2021-07-15 17:18:13,e1da9ff,RP_2GX,2,8,32,,1,1M,150G,0,1048576,1,,Pass,60,10.74,21.96
3279818,ior_easy,2021-07-14 21:26:11,2021-07-14 21:34:07,e1da9ff,SX,4,16,32,,1,1M,150G,0,1048576,1,,Pass,60,40.76,43.28
3286117,ior_easy,2021-07-15 17:16:17,2021-07-15 17:21:50,e1da9ff,RP_3GX,4,16,32,,1,1M,150G,0,1048576,1,,Pass,60,13.60,39.89
3286126,ior_easy,2021-07-16 05:14:57,2021-07-16 05:20:49,e1da9ff,RP_2GX,4,16,32,,1,1M,150G,0,1048576,1,,Pass,60,20.99,41.61
3279810,ior_easy,2021-07-14 21:32:55,2021-07-14 21:41:57,e1da9ff,SX,8,32,32,,1,1M,150G,0,1048576,1,,Pass,60,78.26,82.93
3279813,ior_easy,2021-07-14 21:24:32,2021-07-14 21:32:02,e1da9ff,SX,8,16,32,,1,1M,150G,0,1048576,1,,Pass,60,73.03,81.28
3286112,ior_easy,2021-07-15 17:08:35,2021-07-15 17:16:27,e1da9ff,RP_2GX,8,16,32,,1,1M,150G,0,1048576,1,,Pass,60,38.09,82.86
3286114,ior_easy,2021-07-15 18:42:34,2021-07-15 18:48:23,e1da9ff,RP_3GX,8,32,32,,1,1M,150G,0,1048576,1,,Pass,60,27.00,79.69
3286116,ior_easy,2021-07-15 17:11:03,2021-07-15 17:18:36,e1da9ff,RP_3GX,8,16,32,,1,1M,150G,0,1048576,1,,Pass,60,26.88,79.42
3286121,ior_easy,2021-07-16 01:15:08,2021-07-16 01:22:16,e1da9ff,RP_2GX,8,32,32,,1,1M,150G,0,1048576,1,,Pass,60,39.08,79.62
3279812,ior_easy,2021-07-15 01:15:17,2021-07-15 01:21:50,e1da9ff,SX,16,16,32,,1,1M,150G,0,1048576,1,,Pass,60,125.36,143.54
3286123,ior_easy,2021-07-16 06:27:16,2021-07-16 06:33:00,e1da9ff,RP_2GX,16,16,32,,1,1M,150G,0,1048576,1,,Pass,60,63.80,137.21
3286124,ior_easy,2021-07-16 06:47:43,2021-07-16 06:53:05,e1da9ff,RP_3GX,16,16,32,,1,1M,150G,0,1048576,1,,Pass,60,45.32,144.28
3279811,ior_easy,2021-07-15 00:53:59,2021-07-15 01:00:18,e1da9ff,SX,32,16,32,,1,1M,150G,0,1048576,1,,Pass,60,159.98,172.71
3286115,ior_easy,2021-07-15 19:04:53,2021-07-15 19:10:20,e1da9ff,RP_2GX,32,16,32,,1,1M,150G,0,1048576,1,,Pass,60,80.14,162.47
3286119,ior_easy,2021-07-16 05:14:57,2021-07-16 05:20:08,e1da9ff,RP_3GX,32,16,32,,1,1M,150G,0,1048576,1,,Pass,60,49.57,149.23
3279809,ior_easy,2021-07-15 01:04:37,2021-07-15 01:11:09,e1da9ff,SX,64,16,32,,1,1M,150G,0,1048576,1,,Pass,60,151.80,159.57
3286113,ior_easy,2021-07-16 06:49:59,2021-07-16 06:55:14,e1da9ff,RP_3GX,64,16,32,,1,1M,150G,0,1048576,1,,Pass,60,52.21,143.38
3286120,ior_easy,2021-07-16 06:59:48,2021-07-16 07:05:29,e1da9ff,RP_2GX,64,16,32,,1,1M,150G,0,1048576,1,,Pass,60,75.75,147.05
3283988,ior_hard,2021-07-15 10:38:24,2021-07-15 10:44:58,e1da9ff,SX,1,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,9.55,10.61
3283998,ior_hard,2021-07-15 10:36:39,2021-07-15 10:43:24,e1da9ff,SX,1,4,32,,2000000,47008,47008,0,1048576,1,,Pass,60,10.18,11.00
3283989,ior_hard,2021-07-15 10:38:24,2021-07-15 10:45:03,e1da9ff,SX,2,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,19.06,18.78
3283994,ior_hard,2021-07-15 11:07:36,2021-07-15 11:13:47,e1da9ff,SX,2,8,32,,2000000,47008,47008,0,1048576,1,,Pass,60,20.45,21.75
3284000,ior_hard,2021-07-15 11:42:20,2021-07-15 11:48:51,e1da9ff,SX,4,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,37.23,39.84
3286184,ior_hard,2021-07-16 06:14:06,2021-07-16 06:18:49,e1da9ff,RP_3GX,4,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,6.44,33.71
3286186,ior_hard,2021-07-16 06:54:53,2021-07-16 06:59:56,e1da9ff,RP_2GX,4,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,12.05,35.37
3283992,ior_hard,2021-07-15 11:31:57,2021-07-15 11:38:35,e1da9ff,SX,8,32,32,,2000000,47008,47008,0,1048576,1,,Pass,60,70.02,76.78
3283997,ior_hard,2021-07-15 11:35:00,2021-07-15 11:41:17,e1da9ff,SX,8,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,70.97,70.48
3286175,ior_hard,2021-07-16 07:04:53,2021-07-16 07:09:46,e1da9ff,RP_3GX,8,32,32,,2000000,47008,47008,0,1048576,1,,Pass,60,10.44,55.42
3286178,ior_hard,2021-07-16 07:15:17,2021-07-16 07:20:26,e1da9ff,RP_2GX,8,32,32,,2000000,47008,47008,0,1048576,1,,Pass,60,17.71,63.31
3286179,ior_hard,2021-07-16 06:19:24,2021-07-16 06:24:26,e1da9ff,RP_2GX,8,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,21.18,68.23
3286180,ior_hard,2021-07-16 06:40:09,2021-07-16 06:44:55,e1da9ff,RP_3GX,8,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,12.72,66.86
3283993,ior_hard,2021-07-15 11:45:09,2021-07-15 11:51:37,e1da9ff,SX,16,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,91.29,101.84
3286176,ior_hard,2021-07-16 07:15:17,2021-07-16 07:20:16,e1da9ff,RP_3GX,16,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,22.22,90.33
3286182,ior_hard,2021-07-16 07:31:12,2021-07-16 07:36:40,e1da9ff,RP_2GX,16,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,40.12,94.73
3284006,ior_hard,2021-07-15 12:47:16,2021-07-15 12:54:35,e1da9ff,SX,32,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,91.41,107.49
3286177,ior_hard,2021-07-16 07:15:17,2021-07-16 07:20:34,e1da9ff,RP_3GX,32,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,38.80,105.92
3286185,ior_hard,2021-07-16 07:33:56,2021-07-16 07:39:32,e1da9ff,RP_2GX,32,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,52.67,100.83
3284007,ior_hard,2021-07-15 14:03:57,2021-07-15 14:10:16,e1da9ff,SX,64,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,84.02,104.87
3286181,ior_hard,2021-07-16 07:15:17,2021-07-16 07:20:54,e1da9ff,RP_2GX,64,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,56.96,98.84
3286183,ior_hard,2021-07-16 07:44:35,2021-07-16 07:50:10,e1da9ff,RP_3GX,64,16,32,,2000000,47008,47008,0,1048576,1,,Pass,60,44.26,100.37
