slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3254798,mdtest_hard,2021-07-09 13:43:34,,8fcd79f,S1,SX,1,4,32,did not finish,Fail,60,200000,1048576,3901,3901,0/20,,,,
3254799,mdtest_hard,2021-07-09 13:50:49,2021-07-09 13:57:24,8fcd79f,S1,SX,1,4,32,,Pass,60,200000,1048576,3901,3901,0/20,55.04,408.91,269.18,282.42
3254800,mdtest_hard,2021-07-09 13:54:22,2021-07-09 13:58:52,4d3150e,S1,SX,1,4,32,did not finish,Fail,60,200000,1048576,3901,3901,0/20,,,,
3254801,mdtest_hard,2021-07-09 13:54:22,2021-07-09 14:00:28,4d3150e,S1,SX,1,4,32,,Pass,60,200000,1048576,3901,3901,0/20,79.28,404.08,270.66,193.24
3255641,mdtest_hard,2021-07-09 15:32:43,2021-07-09 15:38:34,8fcd79f,S1,SX,1,4,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,78.99,405.98,273.43,280.77
3255642,mdtest_hard,2021-07-09 15:42:02,2021-07-09 15:47:48,8fcd79f,S1,SX,1,4,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,79.21,408.98,274.74,281.64
3258385,mdtest_hard,2021-07-10 12:00:56,2021-07-10 12:07:05,8fcd79f,S1,SX,1,4,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,80.18,414.70,272.50,193.29
3258386,mdtest_hard,2021-07-10 12:00:56,2021-07-10 12:07:43,8fcd79f,S1,SX,1,4,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,54.21,406.28,272.66,194.88
3255824,mdtest_hard,2021-07-09 18:04:50,2021-07-09 18:11:30,8fcd79f,S1,SX,8,32,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,753.89,1625.58,1088.14,1793.79
3255825,mdtest_hard,2021-07-09 18:04:50,2021-07-09 18:11:35,8fcd79f,S1,SX,8,32,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,766.35,1607.40,1079.63,1821.29
3255826,mdtest_hard,2021-07-09 18:04:50,2021-07-09 18:11:25,4d3150e,S1,SX,8,32,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,748.58,1610.18,1067.98,1445.09
3255827,mdtest_hard,2021-07-09 18:04:50,2021-07-09 18:11:29,4d3150e,S1,SX,8,32,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,755.83,1605.71,1062.38,1426.83
3258383,mdtest_hard,2021-07-10 12:15:35,2021-07-10 12:22:18,8fcd79f,S1,SX,8,32,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,756.00,1609.84,1058.23,1430.36
3258384,mdtest_hard,2021-07-10 12:26:17,2021-07-10 12:33:04,8fcd79f,S1,SX,8,32,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,770.99,1606.48,1076.68,1405.76
