slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3009527,mdtest_easy_1to4_2g1,2021-05-28 11:23:04,2021-05-28 11:27:54,47943ae,RP_2G1,RP_2GX,2,8,32,sw=30s,Pass,30,200000,1048576,0,0,,190.54,1042.86,2200.62,113.20
3009528,mdtest_easy_1to4_2g1,2021-05-28 13:27:16,2021-05-28 13:33:17,47943ae,RP_2G1,RP_2GX,4,16,32,sw=30s,Pass,30,200000,1048576,0,0,,378.70,1531.48,4418.56,105.22
3010784,mdtest_easy_1to4_3g1,2021-05-28 14:15:12,2021-05-28 14:24:48,47943ae,RP_3G1,RP_3GX,4,16,32,sw=30s,Pass,30,200000,1048576,0,0,,225.55,1319.79,3051.23,21.42
2992104,mdtest_easy_1to4_s1,2021-05-22 14:13:43,2021-05-22 14:21:15,47943ae,S1,SX,1,4,32,,Pass,60,300000,1048576,0,0,,484.71,752.28,1134.32,273.42
2990475,mdtest_easy_1to4_s1,2021-05-21 18:21:58,2021-05-21 18:29:59,47943ae,S1,SX,2,8,32,,Pass,60,300000,1048576,0,0,,934.14,1439.33,2175.72,528.71
2992024,mdtest_easy_1to4_s1,2021-05-22 13:12:19,2021-05-22 13:20:58,47943ae,S1,SX,4,16,32,,Pass,60,300000,1048576,0,0,,1792.43,2643.50,4058.85,1009.04
2991896,mdtest_easy_1to4_s1,2021-05-22 11:43:02,2021-05-22 11:53:22,47943ae,S1,SX,8,32,32,,Pass,60,300000,1048576,0,0,,3454.50,4556.33,6867.70,1855.18
2991898,mdtest_easy_c16_s1,2021-05-22 11:48:27,2021-05-22 11:56:18,47943ae,S1,SX,1,16,32,,Pass,60,200000,1048576,0,0,,451.81,653.15,960.05,250.19
2999307,mdtest_easy_c16_s1,2021-05-25 16:37:19,2021-05-25 16:40:18,47943ae,S1,SX,128,16,32,did not finish,Fail,60,1000000,1048576,0,0,,,,,
2999241,mdtest_easy_c16_s1,2021-05-25 16:06:27,2021-05-25 16:18:23,47943ae,S1,SX,16,16,32,,Pass,60,1000000,1048576,0,0,,5296.95,6789.08,10443.17,2962.92
2991899,mdtest_easy_c16_s1,2021-05-22 11:48:27,2021-05-22 11:56:31,47943ae,S1,SX,2,16,32,,Pass,60,200000,1048576,0,0,,923.97,1301.79,1968.98,502.77
2998628,mdtest_easy_c16_s1,2021-05-25 13:35:11,2021-05-25 13:48:46,47943ae,S1,SX,32,16,32,,Pass,60,1000000,1048576,0,0,,6889.04,7683.18,12063.81,3915.89
2999240,mdtest_easy_c16_s1,2021-05-25 16:05:17,2021-05-25 16:19:28,47943ae,S1,SX,64,16,32,,Pass,60,1000000,1048576,0,0,,7476.10,8051.20,12706.17,4517.68
2992025,mdtest_easy_c16_s1,2021-05-22 13:12:19,2021-05-22 13:21:06,47943ae,S1,SX,8,16,32,sw=50s,Pass,50,400000,1048576,0,0,,3263.01,4743.74,7256.51,1855.39
3010763,mdtest_hard_1to4_2g1,2021-05-28 14:07:22,2021-05-28 14:11:42,47943ae,RP_2G1,RP_2GX,2,8,32,sw=30s,Pass,30,200000,1048576,3901,3901,,69.10,710.90,236.18,117.59
3010762,mdtest_hard_1to4_2g1,2021-05-28 14:07:22,2021-05-28 14:12:22,47943ae,RP_2G1,RP_2GX,4,16,32,sw=30s,Pass,30,200000,1048576,3901,3901,,119.98,1377.63,428.50,81.72
3010785,mdtest_hard_1to4_3g1,2021-05-28 14:15:12,2021-05-28 14:20:24,47943ae,RP_3G1,RP_3GX,4,16,32,sw=30s,Pass,30,200000,1048576,3901,3901,,66.91,1025.09,415.09,27.75
