slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3283999,mdtest_easy,2021-07-15 11:21:20,2021-07-15 11:29:16,e1da9ff,S1,SX,1,16,32,,Pass,60,1000000,1048576,0,0,0,464.80,676.45,958.78,227.70
3284005,mdtest_easy,2021-07-15 10:51:01,2021-07-15 10:59:12,e1da9ff,S1,SX,1,4,32,,Pass,60,1000000,1048576,0,0,0,471.90,767.63,1177.84,205.55
3283990,mdtest_easy,2021-07-15 11:08:58,2021-07-15 11:17:26,e1da9ff,S1,SX,2,16,32,,Pass,60,1000000,1048576,0,0,0,899.27,1405.40,1994.62,425.87
3283996,mdtest_easy,2021-07-15 11:19:48,2021-07-15 11:28:03,e1da9ff,S1,SX,2,8,32,,Pass,60,1000000,1048576,0,0,0,904.21,1486.33,2285.41,390.91
3286346,mdtest_easy,2021-07-15 17:26:23,2021-07-15 17:31:06,e1da9ff,RP_2G1,RP_2GX,2,8,32,sw=30s,Pass,30,1000000,1048576,0,0,0,190.99,1090.01,2127.57,126.36
3284003,mdtest_easy,2021-07-15 11:50:46,2021-07-15 12:00:11,e1da9ff,S1,SX,4,16,32,,Pass,60,1000000,1048576,0,0,0,1772.22,2808.70,4319.27,742.38
3286348,mdtest_easy,2021-07-16 06:57:23,2021-07-16 07:02:10,e1da9ff,RP_3G1,RP_3GX,4,16,32,sw=30s,Pass,30,1000000,1048576,0,0,0,194.26,1114.68,3032.85,140.19
3283995,mdtest_easy,2021-07-15 11:29:01,2021-07-15 11:40:58,e1da9ff,S1,SX,8,16,32,,Pass,60,1000000,1048576,0,0,0,3270.34,4724.11,6864.38,984.39
3284002,mdtest_easy,2021-07-15 11:50:46,2021-07-15 12:01:58,e1da9ff,S1,SX,8,32,32,,Pass,60,1000000,1048576,0,0,0,3294.76,5014.34,7137.42,1356.29
3283991,mdtest_easy,2021-07-15 11:31:57,2021-07-15 11:46:19,e1da9ff,S1,SX,16,16,32,,Pass,60,1000000,1048576,0,0,0,5279.53,6342.89,9093.26,1436.90
3284004,mdtest_easy,2021-07-15 11:42:20,2021-07-15 11:57:32,e1da9ff,S1,SX,32,16,32,,Pass,60,1000000,1048576,0,0,0,6587.57,6882.72,10908.10,2173.62
3284001,mdtest_easy,2021-07-15 13:45:12,2021-07-15 13:59:32,e1da9ff,S1,SX,64,16,32,,Pass,60,1000000,1048576,0,0,0,6940.81,7040.09,11376.21,3441.44
3285944,mdtest_hard,2021-07-15 16:25:20,2021-07-15 16:29:55,e1da9ff,S1,SX,1,4,32,sw=40s,Pass,40,500000,1048576,3901,3901,0/20,146.18,406.58,266.17,279.28
3292568,mdtest_hard,2021-07-16 15:09:35,2021-07-16 15:14:53,e1da9ff,S1,SX,1,16,32,sw=40s,Pass,40,500000,1048576,3901,3901,0/20,142.85,374.54,240.97,213.03
3284960,mdtest_hard,2021-07-15 15:21:27,2021-07-15 15:28:44,e1da9ff,S1,SX,2,8,32,sw=50s,Pass,50,500000,1048576,3901,3901,0/20,100.14,641.34,425.17,360.29
3285945,mdtest_hard,2021-07-15 16:35:40,2021-07-15 16:41:00,e1da9ff,S1,SX,2,16,32,sw=40s,Pass,40,500000,1048576,3901,3901,0/20,248.72,631.01,412.15,484.33
3286347,mdtest_hard,2021-07-15 17:26:23,2021-07-15 17:30:42,e1da9ff,RP_2G1,RP_2GX,2,8,32,sw=30s,Pass,30,500000,1048576,3901,3901,0/20,89.82,729.61,505.74,121.85
3284962,mdtest_hard,2021-07-15 16:33:00,2021-07-15 16:39:34,e1da9ff,S1,SX,4,16,32,sw=50s,Pass,50,500000,1048576,3901,3901,0/20,450.83,970.29,636.72,687.24
3286349,mdtest_hard,2021-07-16 06:57:23,2021-07-16 07:01:44,e1da9ff,RP_3G1,RP_3GX,4,16,32,sw=30s,Pass,30,500000,1048576,3901,3901,0/20,104.62,1100.28,752.11,137.59
3284259,mdtest_hard,2021-07-15 14:08:48,2021-07-15 14:16:01,e1da9ff,S1,SX,8,16,32,,Pass,60,200000,1048576,3901,3901,0/20,736.72,1386.27,911.07,1163.73
3284958,mdtest_hard,2021-07-15 16:24:47,2021-07-15 16:31:36,e1da9ff,S1,SX,8,32,32,sw=50s,Pass,50,500000,1048576,3901,3901,0/20,771.66,1589.82,1073.53,1387.16
3284264,mdtest_hard,2021-07-15 14:06:55,2021-07-15 14:14:47,e1da9ff,S1,SX,16,16,32,,Pass,60,200000,1048576,3901,3901,0/20,1070.36,1963.09,1210.40,2461.38
3284261,mdtest_hard,2021-07-15 14:08:48,2021-07-15 14:16:56,e1da9ff,S1,SX,32,16,32,,Pass,60,200000,1048576,3901,3901,0/20,1366.53,2443.89,1540.30,3552.67
3284961,mdtest_hard,2021-07-15 17:23:16,2021-07-15 17:30:21,e1da9ff,S1,SX,64,16,32,sw=50s,Pass,50,500000,1048576,3901,3901,0/20,1537.76,3852.91,2068.62,3992.67
