slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4109887,ior_easy,2022-02-28 13:47:02,2022-02-28 13:53:12,eb307af,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.41,11.38
4110718,ior_easy,2022-02-28 17:45:00,2022-02-28 17:50:14,eb307af,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.42,11.43
4109888,ior_easy,2022-02-28 13:50:56,2022-02-28 13:56:35,eb307af,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,22.23,22.67
4109897,ior_easy,2022-02-28 13:35:53,2022-02-28 13:41:21,eb307af,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.87,22.66
4113316,ior_easy,2022-03-02 00:50:57,2022-03-02 00:56:54,eb307af,SX,3,16,12,32,,1,2M,150G,1M,131072,1,,Pass,60,32.67,34.09
4113320,ior_easy,2022-03-02 03:54:39,2022-03-02 04:00:40,eb307af,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,22.02,32.19
4113322,ior_easy,2022-03-02 06:13:49,2022-03-02 06:20:51,eb307af,SX,3,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,32.29,33.74
4113323,ior_easy,2022-03-02 10:51:26,2022-03-02 10:57:22,eb307af,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,22.17,32.47
4109881,ior_easy,2022-02-28 13:35:53,2022-02-28 13:42:49,eb307af,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,42.50,44.97
4113309,ior_easy,2022-03-02 05:43:46,2022-03-02 05:50:47,eb307af,SX,6,16,24,32,,1,2M,150G,1M,131072,1,,Pass,60,62.64,66.42
4113312,ior_easy,2022-03-02 05:24:28,2022-03-02 05:31:25,eb307af,SX,6,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,50.42,64.29
4113314,ior_easy,2022-03-02 06:43:38,2022-03-02 06:49:34,eb307af,EC_2P1GX,6,16,24,32,,1,2M,150G,2M,131072,1,,Pass,60,41.63,55.27
4113315,ior_easy,2022-03-02 11:00:52,2022-03-02 11:08:45,eb307af,SX,6,16,24,32,,1,4M,150G,1M,131072,1,,Pass,60,62.85,64.22
4113317,ior_easy,2022-03-02 06:53:36,2022-03-02 07:00:20,eb307af,SX,6,16,16,32,,1,4M,150G,1M,131072,1,,Pass,60,58.08,67.66
4113324,ior_easy,2022-03-02 11:41:27,2022-03-02 11:47:28,eb307af,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,40.53,53.59
4113336,ior_easy,2022-03-02 13:38:26,2022-03-02 13:44:38,eb307af,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,40.62,60.30
4113337,ior_easy,2022-03-02 18:28:22,2022-03-02 18:34:28,eb307af,EC_4P2GX,6,16,24,32,,1,4M,150G,4M,131072,1,,Pass,60,40.09,55.33
4109886,ior_easy,2022-02-28 13:39:24,2022-02-28 13:45:41,eb307af,SX,8,16,16,32,,1,1M,150G,1M,,1,,Pass,60,75.04,89.46
