slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
3763783,ior_easy,2021-11-11 10:23:23,2021-11-11 10:27:59,6453a3e,SX,1,16,4,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.39,11.46
3763786,ior_easy,2021-11-11 10:34:04,2021-11-11 10:41:19,6453a3e,SX,1,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.36,11.44
3763778,ior_easy,2021-11-11 10:32:51,2021-11-11 10:39:16,6453a3e,SX,2,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,22.24,21.80
3763780,ior_easy,2021-11-11 10:18:14,2021-11-11 10:23:32,6453a3e,SX,2,16,8,32,,1,1M,150G,1M,1048576,1,,Pass,60,21.64,22.79
3769026,ior_easy,2021-11-12 16:12:05,2021-11-12 16:19:33,6453a3e,SX,3,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,32.65,32.84
3769032,ior_easy,2021-11-12 16:15:39,2021-11-12 16:20:50,6453a3e,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,20.86,30.01
3763769,ior_easy,2021-11-11 10:27:29,2021-11-11 10:33:25,6453a3e,SX,4,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,42.36,45.38
3769027,ior_easy,2021-11-12 16:12:05,2021-11-12 16:18:14,6453a3e,SX,6,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,60.33,65.68
3769038,ior_easy,2021-11-12 16:15:39,2021-11-12 16:21:56,6453a3e,SX,6,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,59.93,64.97
3769043,ior_easy,2021-11-12 16:31:07,2021-11-12 16:36:39,6453a3e,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,1048576,1,,Pass,60,39.50,54.51
3780424,ior_easy,2021-11-16 11:00:39,2021-11-16 11:06:47,6453a3e,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,41.24,55.76
3780425,ior_easy,2021-11-16 11:40:34,2021-11-16 11:46:45,6453a3e,SX,6,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,62.36,67.60
3763781,ior_easy,2021-11-11 10:45:36,2021-11-11 10:52:00,6453a3e,SX,8,16,32,32,,1,1M,150G,1M,1048576,1,,Pass,60,83.15,90.05
3763784,ior_easy,2021-11-11 10:35:13,2021-11-11 10:41:49,6453a3e,SX,8,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,75.14,89.83
3769051,ior_easy,2021-11-12 19:09:22,2021-11-12 19:15:07,6453a3e,EC_8P2GX,10,16,16,32,,1,8M,150G,8M,1048576,1,,Pass,60,77.35,67.68
3780435,ior_easy,2021-11-16 18:48:07,2021-11-16 18:51:10,6453a3e,SX,10,16,16,32,,1,8M,150G,1M,1048576,1,"write failed,read failed",Fail,60,0.00,0.00
3769028,ior_easy,2021-11-12 16:12:05,2021-11-12 16:17:56,6453a3e,SX,12,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,112.18,126.41
3769039,ior_easy,2021-11-12 16:31:07,2021-11-12 16:37:09,6453a3e,SX,12,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,102.76,125.43
3769044,ior_easy,2021-11-12 16:31:07,2021-11-12 16:37:04,6453a3e,EC_4P2GX,12,16,16,32,,1,4M,150G,4M,1048576,1,,Pass,60,74.60,101.23
3780432,ior_easy,2021-11-16 18:47:59,2021-11-16 18:53:44,6453a3e,SX,12,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,113.93,122.57
3780433,ior_easy,2021-11-16 18:48:07,2021-11-16 18:53:52,6453a3e,EC_2P1GX,12,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,72.49,107.17
3763776,ior_easy,2021-11-11 10:41:29,2021-11-11 10:47:05,6453a3e,SX,16,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,127.28,158.00
3769029,ior_easy,2021-11-12 16:15:40,2021-11-12 16:21:08,6453a3e,SX,18,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,137.35,137.55
3769040,ior_easy,2021-11-12 16:31:07,2021-11-12 16:36:47,6453a3e,SX,18,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,144.88,124.45
3769056,ior_easy,2021-11-12 20:10:30,2021-11-12 20:15:51,6453a3e,EC_16P2GX,18,16,16,32,,1,16M,150G,16M,1048576,1,,Pass,60,155.01,89.76
3780428,ior_easy,2021-11-16 18:25:24,2021-11-16 18:31:03,6453a3e,SX,18,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,163.74,118.80
3780429,ior_easy,2021-11-16 18:37:31,2021-11-16 18:42:40,6453a3e,EC_2P1GX,18,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,109.44,140.88
3780438,ior_easy,2021-11-16 18:44:05,2021-11-16 18:49:23,6453a3e,EC_4P2GX,18,16,16,32,,1,4M,150G,4M,1048576,1,,Pass,60,111.78,120.34
