slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
3969187,ior_easy,2022-01-24 18:30:19,2022-01-24 18:37:19,4d767fe,SX,1,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.39,11.35
3969193,ior_easy,2022-01-24 18:16:45,2022-01-24 18:22:28,4d767fe,SX,1,16,4,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.44,11.44
3969195,ior_easy,2022-01-24 18:22:43,2022-01-24 18:28:10,4d767fe,SX,2,16,8,32,,1,1M,150G,1M,1048576,1,,Pass,60,21.61,22.69
3969205,ior_easy,2022-01-24 18:30:19,2022-01-24 18:37:38,4d767fe,SX,2,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,22.08,22.65
3971160,ior_easy,2022-01-25 13:17:45,2022-01-25 13:22:57,4d767fe,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,21.53,32.67
3971163,ior_easy,2022-01-25 14:51:32,2022-01-25 14:56:49,4d767fe,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,21.58,27.96
3971169,ior_easy,2022-01-25 16:05:53,2022-01-25 16:12:49,4d767fe,SX,3,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,32.82,34.09
3971171,ior_easy,2022-01-25 14:05:08,2022-01-25 14:11:39,4d767fe,SX,3,16,12,32,,1,2M,150G,1M,131072,1,,Pass,60,32.47,33.95
3969202,ior_easy,2022-01-24 18:30:19,2022-01-24 18:36:18,4d767fe,SX,4,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,42.87,45.19
3971161,ior_easy,2022-01-25 14:29:31,2022-01-25 14:35:30,4d767fe,SX,6,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,63.37,67.41
3971162,ior_easy,2022-01-25 14:40:51,2022-01-25 14:46:39,4d767fe,EC_2P1GX,6,16,24,32,,1,2M,150G,2M,131072,1,,Pass,60,41.66,55.91
3971164,ior_easy,2022-01-25 14:55:16,2022-01-25 15:01:02,4d767fe,SX,6,16,16,32,,1,4M,150G,1M,131072,1,,Pass,60,61.38,58.21
3971168,ior_easy,2022-01-25 16:14:00,2022-01-25 16:20:43,4d767fe,SX,6,16,24,32,,1,2M,150G,1M,131072,1,,Pass,60,63.89,67.36
3971172,ior_easy,2022-01-25 16:25:10,2022-01-25 16:30:47,4d767fe,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,41.66,51.17
3971174,ior_easy,2022-01-25 17:02:52,2022-01-25 17:10:00,4d767fe,SX,6,16,24,32,,1,4M,150G,1M,131072,1,,Pass,60,63.05,67.32
3971183,ior_easy,2022-01-25 18:11:06,2022-01-25 18:16:33,4d767fe,EC_4P2GX,6,16,24,32,,1,4M,150G,4M,131072,1,,Pass,60,39.47,51.24
3971185,ior_easy,2022-01-25 17:45:34,2022-01-25 17:51:11,4d767fe,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,35.87,43.38
3969188,ior_easy,2022-01-24 18:22:43,2022-01-24 18:28:54,4d767fe,SX,8,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,76.78,87.30
3969191,ior_easy,2022-01-24 18:30:19,2022-01-24 18:37:40,4d767fe,SX,8,16,32,32,,1,1M,150G,1M,1048576,1,,Pass,60,84.18,89.66
3971186,ior_easy,2022-01-25 18:00:59,2022-01-25 18:08:20,4d767fe,SX,10,16,40,32,,1,8M,150G,1M,131072,1,,Pass,60,104.25,112.10
3971191,ior_easy,2022-01-25 18:23:57,2022-01-25 18:29:49,4d767fe,EC_8P2GX,10,16,40,32,,1,8M,150G,8M,131072,1,,Pass,60,74.02,80.08
3971194,ior_easy,2022-01-25 18:23:57,2022-01-25 18:29:20,4d767fe,EC_8P2GX,10,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,79.58,88.11
3971198,ior_easy,2022-01-25 19:12:34,2022-01-25 19:18:39,4d767fe,SX,10,16,16,32,,1,8M,150G,1M,131072,1,,Pass,60,94.22,99.05
3971165,ior_easy,2022-01-25 17:08:13,2022-01-25 17:15:22,4d767fe,SX,12,16,48,32,,1,2M,150G,1M,131072,1,,Pass,60,123.93,133.71
3971166,ior_easy,2022-01-25 16:02:07,2022-01-25 16:07:59,4d767fe,SX,12,16,16,32,,1,4M,150G,1M,131072,1,,Pass,60,108.21,129.01
3971170,ior_easy,2022-01-25 17:45:34,2022-01-25 17:53:53,4d767fe,SX,12,16,48,32,,1,4M,150G,1M,131072,1,,Pass,60,121.41,131.49
3971173,ior_easy,2022-01-25 17:55:57,2022-01-25 18:02:10,4d767fe,EC_2P1GX,12,16,48,32,,1,2M,150G,2M,131072,1,,Pass,60,79.60,105.32
3971175,ior_easy,2022-01-25 17:26:45,2022-01-25 17:32:26,4d767fe,SX,12,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,114.76,129.53
3971179,ior_easy,2022-01-25 18:11:06,2022-01-25 18:16:42,4d767fe,EC_2P1GX,12,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,74.17,95.81
3971184,ior_easy,2022-01-25 18:18:53,2022-01-25 18:25:01,4d767fe,EC_4P2GX,12,16,48,32,,1,4M,150G,4M,131072,1,,Pass,60,79.49,91.26
3971195,ior_easy,2022-01-25 18:55:28,2022-01-25 19:01:17,4d767fe,EC_4P2GX,12,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,71.21,94.73
3969189,ior_easy,2022-01-24 18:30:19,2022-01-24 18:35:35,4d767fe,SX,16,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,134.62,152.52
3969197,ior_easy,2022-01-24 18:39:56,2022-01-24 18:47:28,4d767fe,SX,16,16,64,32,,1,1M,150G,1M,1048576,1,,Pass,60,160.85,176.78
3971176,ior_easy,2022-01-25 17:37:29,2022-01-25 17:42:51,4d767fe,SX,18,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,158.65,153.90
3971177,ior_easy,2022-01-25 17:45:34,2022-01-25 17:51:05,4d767fe,EC_2P1GX,18,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,89.91,126.39
3971180,ior_easy,2022-01-25 18:11:06,2022-01-25 18:16:31,4d767fe,SX,18,16,16,32,,1,4M,150G,1M,131072,1,,Pass,60,151.24,117.41
3971187,ior_easy,2022-01-25 18:11:06,2022-01-25 18:16:35,4d767fe,SX,18,16,16,32,,1,16M,150G,1M,131072,1,,Pass,60,136.23,99.24
3971188,ior_easy,2022-01-25 18:18:53,2022-01-25 18:24:16,4d767fe,EC_4P2GX,18,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,110.91,95.91
3971197,ior_easy,2022-01-25 18:23:57,2022-01-25 18:29:20,4d767fe,EC_16P2GX,18,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,119.46,82.56
3971193,ior_easy,2022-01-25 18:23:57,2022-01-25 18:29:14,4d767fe,SX,20,16,16,32,,1,8M,150G,1M,131072,1,,Pass,60,147.53,110.04
3971196,ior_easy,2022-01-25 18:23:57,2022-01-25 18:29:36,4d767fe,EC_8P2GX,20,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,90.58,100.95
3971167,ior_easy,2022-01-25 17:18:36,2022-01-25 17:23:44,4d767fe,EC_2P1GX,24,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,117.62,131.81
3971178,ior_easy,2022-01-25 17:55:57,2022-01-25 18:01:12,4d767fe,SX,24,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,176.59,154.49
3971181,ior_easy,2022-01-25 18:11:06,2022-01-25 18:16:34,4d767fe,SX,24,16,16,32,,1,4M,150G,1M,131072,1,,Pass,60,139.50,146.83
