slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4318432,ior_easy,2022-05-09 12:10:33,2022-05-09 12:15:07,76685fb,ofi+verbs;ofi_rxm,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.43,11.48
4318437,ior_easy,2022-05-09 12:44:06,2022-05-09 12:49:16,76685fb,ofi+verbs;ofi_rxm,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.37,11.44
4318433,ior_easy,2022-05-09 12:15:51,2022-05-09 12:21:10,76685fb,ofi+verbs;ofi_rxm,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.76,22.72
4318438,ior_easy,2022-05-09 12:50:11,2022-05-09 12:55:33,76685fb,ofi+verbs;ofi_rxm,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,21.74,22.75
4320069,ior_easy,2022-05-09 18:35:52,2022-05-09 18:41:11,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,21.80,28.05
4320072,ior_easy,2022-05-09 19:06:50,2022-05-09 19:06:58,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,"write failed,read failed",Fail,60,0.00,0.00
4318434,ior_easy,2022-05-09 12:22:06,2022-05-09 12:27:54,76685fb,ofi+verbs;ofi_rxm,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,42.08,45.17
4320070,ior_easy,2022-05-09 18:42:27,2022-05-09 18:48:26,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,24,32,,1,2M,150G,2M,131072,1,,Pass,60,41.97,51.81
4320073,ior_easy,2022-05-09 19:09:12,2022-05-09 19:09:19,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,131072,1,"write failed,read failed",Fail,60,0.00,0.00
4320077,ior_easy,2022-05-09 19:23:13,2022-05-09 19:28:26,76685fb,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,24,32,,1,4M,150G,4M,131072,1,,Pass,60,40.16,54.84
4320079,ior_easy,2022-05-09 19:35:51,2022-05-09 19:40:48,76685fb,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,43.67,59.58
4318435,ior_easy,2022-05-09 12:28:51,2022-05-09 12:35:40,76685fb,ofi+verbs;ofi_rxm,SX,8,16,32,32,,1,1M,150G,1M,,1,,Pass,60,79.79,88.25
4318439,ior_easy,2022-05-09 12:56:23,2022-05-09 13:01:27,76685fb,ofi+verbs;ofi_rxm,SX,8,16,16,32,,1,1M,150G,1M,,1,,Pass,60,79.71,83.23
4320084,ior_easy,2022-05-09 20:05:19,2022-05-09 20:10:38,76685fb,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,40,32,,1,8M,150G,8M,131072,1,,Pass,60,82.94,102.08
4320085,ior_easy,2022-05-09 20:11:35,2022-05-09 20:16:27,76685fb,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,82.99,82.05
4320071,ior_easy,2022-05-09 18:49:35,2022-05-09 18:56:14,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,48,32,,1,2M,150G,2M,131072,1,,Pass,60,81.02,117.88
4320074,ior_easy,2022-05-09 19:10:50,2022-05-09 19:10:57,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,16,32,,1,2M,150G,2M,131072,1,"write failed,read failed",Fail,60,0.00,0.00
4320078,ior_easy,2022-05-09 19:29:12,2022-05-09 19:34:57,76685fb,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,48,32,,1,4M,150G,4M,131072,1,,Pass,60,79.77,97.47
4320080,ior_easy,2022-05-09 19:41:36,2022-05-09 19:46:49,76685fb,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,71.08,96.86
4318436,ior_easy,2022-05-09 12:36:38,2022-05-09 12:43:12,76685fb,ofi+verbs;ofi_rxm,SX,16,16,64,32,,1,1M,150G,1M,,1,,Pass,60,160.68,176.30
4318440,ior_easy,2022-05-09 13:02:20,2022-05-09 13:07:18,76685fb,ofi+verbs;ofi_rxm,SX,16,16,16,32,,1,1M,150G,1M,,1,,Pass,60,135.58,142.41
4320075,ior_easy,2022-05-09 19:11:42,2022-05-09 19:16:30,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,18,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,107.67,117.08
4320081,ior_easy,2022-05-09 19:47:47,2022-05-09 19:52:38,76685fb,ofi+verbs;ofi_rxm,EC_4P2GX,18,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,89.72,103.09
4320088,ior_easy,2022-05-09 20:28:49,2022-05-09 20:33:34,76685fb,ofi+verbs;ofi_rxm,EC_16P2GX,18,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,150.01,111.36
4320086,ior_easy,2022-05-09 20:17:21,2022-05-09 20:22:07,76685fb,ofi+verbs;ofi_rxm,EC_8P2GX,20,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,132.50,123.71
4320076,ior_easy,2022-05-09 19:17:28,2022-05-09 19:22:16,76685fb,ofi+verbs;ofi_rxm,EC_2P1GX,24,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,117.12,116.00
4320082,ior_easy,2022-05-09 19:53:35,2022-05-09 19:58:32,76685fb,ofi+verbs;ofi_rxm,EC_4P2GX,24,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,113.31,107.62
4320087,ior_easy,2022-05-09 20:23:03,2022-05-09 20:27:53,76685fb,ofi+verbs;ofi_rxm,EC_8P2GX,30,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,139.51,131.52
4318441,ior_easy,2022-05-09 13:13:30,2022-05-09 13:18:20,76685fb,ofi+verbs;ofi_rxm,SX,32,16,16,32,,1,1M,150G,1M,,1,,Pass,60,170.17,158.30
4320083,ior_easy,2022-05-09 19:59:29,2022-05-09 20:04:22,76685fb,ofi+verbs;ofi_rxm,EC_4P2GX,36,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,114.68,109.95
4320089,ior_easy,2022-05-09 20:34:32,2022-05-09 20:40:55,76685fb,ofi+verbs;ofi_rxm,EC_16P2GX,36,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,157.17,105.38
4318442,ior_easy,2022-05-09 13:19:17,2022-05-09 13:24:12,76685fb,ofi+verbs;ofi_rxm,SX,64,16,16,32,,1,1M,150G,1M,,1,,Pass,60,168.32,153.04
4318443,ior_easy,2022-05-09 13:25:10,2022-05-09 13:30:16,76685fb,ofi+verbs;ofi_rxm,SX,128,16,16,32,,1,1M,150G,1M,,1,,Pass,60,165.23,154.79
