slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4656003,ior_easy,2022-07-15 15:24:06,2022-07-15 15:29:03,1fc0a4c,ofi+verbs;ofi_rxm,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.29,11.22
4656008,ior_easy,2022-07-15 16:11:31,2022-07-15 16:17:13,1fc0a4c,ofi+verbs;ofi_rxm,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.42,11.34
4656004,ior_easy,2022-07-15 15:31:56,2022-07-15 15:37:58,1fc0a4c,ofi+verbs;ofi_rxm,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.53,22.47
4656009,ior_easy,2022-07-15 16:18:45,2022-07-15 16:26:45,1fc0a4c,ofi+verbs;ofi_rxm,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,22.22,22.72
4656051,ior_easy,2022-07-16 04:43:30,2022-07-16 04:49:10,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,21.44,30.41
4656054,ior_easy,2022-07-16 05:07:44,2022-07-16 05:13:29,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,21.61,33.11
4656005,ior_easy,2022-07-15 15:39:47,2022-07-15 15:46:00,1fc0a4c,ofi+verbs;ofi_rxm,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,41.05,44.52
4656055,ior_easy,2022-07-16 06:26:43,2022-07-16 06:32:40,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,41.50,56.12
4656059,ior_easy,2022-07-16 07:51:51,2022-07-16 07:57:21,1fc0a4c,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,24,32,,1,4M,150G,4M,131072,1,,Pass,60,43.83,53.64
4656061,ior_easy,2022-07-16 08:28:09,2022-07-16 08:33:40,1fc0a4c,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,42.76,55.42
4667082,ior_easy,2022-07-18 11:35:03,2022-07-18 11:40:50,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,24,32,,1,2M,150G,2M,131072,1,,Pass,60,40.97,55.46
