slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4822646,ior_easy,2022-09-13 18:21:07,2022-09-13 18:25:41,e68757d,ofi+verbs;ofi_rxm,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.43,11.48
4822652,ior_easy,2022-09-13 18:54:50,2022-09-13 19:01:32,e68757d,ofi+verbs;ofi_rxm,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.45,11.46
4822647,ior_easy,2022-09-13 18:26:27,2022-09-13 18:31:04,e68757d,ofi+verbs;ofi_rxm,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.93,22.80
4822653,ior_easy,2022-09-13 19:02:18,2022-09-13 19:08:41,e68757d,ofi+verbs;ofi_rxm,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,22.37,22.85
4822703,ior_easy,2022-09-14 01:33:59,2022-09-14 01:39:11,e68757d,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,22.30,32.71
4822706,ior_easy,2022-09-14 01:55:22,2022-09-14 02:00:51,e68757d,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,21.90,33.11
4822648,ior_easy,2022-09-13 18:31:55,2022-09-13 18:38:35,e68757d,ofi+verbs;ofi_rxm,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,42.70,45.49
4822707,ior_easy,2022-09-14 02:02:00,2022-09-14 02:08:18,e68757d,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,42.46,56.27
4822718,ior_easy,2022-09-14 03:15:55,2022-09-14 03:21:19,e68757d,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,24,32,,1,4M,150G,4M,131072,1,,Pass,60,43.28,60.30
4822720,ior_easy,2022-09-14 03:29:31,2022-09-14 03:35:09,e68757d,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,43.34,60.63
4831497,ior_easy,2022-09-15 20:23:29,2022-09-15 20:29:10,e68757d,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,24,32,,1,2M,150G,2M,131072,1,,Pass,60,43.01,55.12
4822649,ior_easy,2022-09-13 18:39:24,2022-09-13 18:46:00,e68757d,ofi+verbs;ofi_rxm,SX,8,16,32,32,,1,1M,150G,1M,,1,,Pass,60,83.67,90.53
4822654,ior_easy,2022-09-13 19:09:38,2022-09-13 19:14:53,e68757d,ofi+verbs;ofi_rxm,SX,8,16,16,32,,1,1M,150G,1M,,1,,Pass,60,79.25,88.73
4822729,ior_easy,2022-09-14 06:07:25,2022-09-14 06:13:07,e68757d,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,40,32,,1,8M,150G,8M,131072,1,,Pass,60,82.66,92.06
4822730,ior_easy,2022-09-14 06:14:19,2022-09-14 06:19:41,e68757d,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,78.71,96.84
4822705,ior_easy,2022-09-14 01:47:29,2022-09-14 01:53:48,e68757d,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,48,32,,1,2M,150G,2M,131072,1,,Pass,60,82.12,109.80
4822708,ior_easy,2022-09-14 02:09:25,2022-09-14 02:14:25,e68757d,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,74.82,106.63
4822719,ior_easy,2022-09-14 03:22:43,2022-09-14 03:28:29,e68757d,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,48,32,,1,4M,150G,4M,131072,1,,Pass,60,84.00,109.12
4822721,ior_easy,2022-09-14 03:56:25,2022-09-14 04:01:49,e68757d,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,71.27,110.77
4822650,ior_easy,2022-09-13 18:46:58,2022-09-13 18:53:52,e68757d,ofi+verbs;ofi_rxm,SX,16,16,64,32,,1,1M,150G,1M,,1,,Pass,60,162.60,177.36
4831468,ior_easy,2022-09-15 16:07:27,2022-09-15 16:12:48,e68757d,ofi+verbs;ofi_rxm,SX,16,16,16,32,,1,1M,150G,1M,,1,,Pass,60,140.41,154.89
4822709,ior_easy,2022-09-14 02:15:27,2022-09-14 02:20:13,e68757d,ofi+verbs;ofi_rxm,EC_2P1GX,18,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,106.30,123.14
4822735,ior_easy,2022-09-14 07:07:03,2022-09-14 07:12:09,e68757d,ofi+verbs;ofi_rxm,EC_16P2GX,18,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,155.43,112.32
4831503,ior_easy,2022-09-15 20:38:55,2022-09-15 20:43:55,e68757d,ofi+verbs;ofi_rxm,EC_4P2GX,18,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,110.92,110.79
4822731,ior_easy,2022-09-14 06:23:26,2022-09-14 06:28:25,e68757d,ofi+verbs;ofi_rxm,EC_8P2GX,20,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,141.40,116.40
