slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4237714,ior_easy,2022-04-13 17:46:48,2022-04-13 17:51:40,7eb7fd4,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.43,11.48
4237719,ior_easy,2022-04-13 18:44:15,2022-04-13 18:52:01,7eb7fd4,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.44,11.46
4237715,ior_easy,2022-04-13 17:53:56,2022-04-13 17:58:43,7eb7fd4,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.97,22.82
4237720,ior_easy,2022-04-13 18:53:04,2022-04-13 19:01:20,7eb7fd4,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,22.21,22.86
4239726,ior_easy,2022-04-14 09:08:22,2022-04-14 09:12:47,7eb7fd4,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,22.41,33.10
4239729,ior_easy,2022-04-14 09:27:44,2022-04-14 09:32:54,7eb7fd4,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,21.85,28.21
4237716,ior_easy,2022-04-13 17:59:51,2022-04-13 18:06:39,7eb7fd4,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,42.91,45.58
4239727,ior_easy,2022-04-14 09:13:53,2022-04-14 09:18:58,7eb7fd4,EC_2P1GX,6,16,24,32,,1,2M,150G,2M,131072,1,,Pass,60,43.79,52.39
4239730,ior_easy,2022-04-14 09:34:22,2022-04-14 09:38:53,7eb7fd4,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,43.13,56.13
4239734,ior_easy,2022-04-14 09:59:03,2022-04-14 10:04:10,7eb7fd4,EC_4P2GX,6,16,24,32,,1,4M,150G,4M,131072,1,,Pass,60,44.62,51.88
4239736,ior_easy,2022-04-14 10:12:23,2022-04-14 10:16:57,7eb7fd4,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,44.33,52.13
4237721,ior_easy,2022-04-13 19:03:02,2022-04-13 19:09:05,7eb7fd4,SX,8,16,16,32,,1,1M,150G,1M,,1,,Pass,60,78.56,90.13
4243955,ior_easy,2022-04-15 15:25:00,2022-04-15 15:32:34,7eb7fd4,SX,8,16,32,32,,1,1M,150G,1M,,1,,Pass,60,82.76,90.56
4239744,ior_easy,2022-04-14 11:08:31,2022-04-14 11:13:27,7eb7fd4,EC_8P2GX,10,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,87.62,94.78
4243945,ior_easy,2022-04-15 15:04:13,2022-04-15 15:09:40,7eb7fd4,EC_8P2GX,10,16,40,32,,1,8M,150G,8M,131072,1,,Pass,60,80.54,94.47
4239728,ior_easy,2022-04-14 09:19:59,2022-04-14 09:26:43,7eb7fd4,EC_2P1GX,12,16,48,32,,1,2M,150G,2M,131072,1,,Pass,60,84.13,111.58
4239731,ior_easy,2022-04-14 09:39:54,2022-04-14 09:45:10,7eb7fd4,EC_2P1GX,12,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,79.35,110.97
4239737,ior_easy,2022-04-14 10:17:56,2022-04-14 10:22:57,7eb7fd4,EC_4P2GX,12,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,81.29,117.91
4243947,ior_easy,2022-04-15 15:11:49,2022-04-15 15:17:28,7eb7fd4,EC_4P2GX,12,16,48,32,,1,4M,150G,4M,131072,1,,Pass,60,77.68,108.96
4237718,ior_easy,2022-04-13 18:19:33,2022-04-13 18:27:10,7eb7fd4,SX,16,16,64,32,,1,1M,150G,1M,,1,read failed,Warning,60,151.26,0.00
4237722,ior_easy,2022-04-13 19:11:23,2022-04-13 19:16:33,7eb7fd4,SX,16,16,16,32,,1,1M,150G,1M,,1,,Pass,60,129.92,145.40
4239732,ior_easy,2022-04-14 09:46:38,2022-04-14 09:51:28,7eb7fd4,EC_2P1GX,18,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,109.90,127.59
4239739,ior_easy,2022-04-14 10:24:02,2022-04-14 10:30:33,7eb7fd4,EC_4P2GX,18,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,110.15,129.38
4239747,ior_easy,2022-04-14 11:29:47,2022-04-14 11:34:32,7eb7fd4,EC_16P2GX,18,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,157.20,132.92
4239745,ior_easy,2022-04-14 11:16:04,2022-04-14 11:20:49,7eb7fd4,EC_8P2GX,20,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,141.38,117.28
4239733,ior_easy,2022-04-14 09:52:50,2022-04-14 09:57:29,7eb7fd4,EC_2P1GX,24,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,118.94,132.58
4239740,ior_easy,2022-04-14 10:31:48,2022-04-14 10:36:32,7eb7fd4,EC_4P2GX,24,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,117.72,130.08
