slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4619114,ior_easy,2022-07-11 18:11:42,2022-07-11 18:16:58,69dec6b,ofi+verbs;ofi_rxm,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.44,11.46
4619119,ior_easy,2022-07-11 18:54:04,2022-07-11 18:59:56,69dec6b,ofi+verbs;ofi_rxm,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.38,11.41
4619115,ior_easy,2022-07-11 18:17:55,2022-07-11 18:23:24,69dec6b,ofi+verbs;ofi_rxm,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.90,22.79
4619120,ior_easy,2022-07-11 19:01:39,2022-07-11 19:07:59,69dec6b,ofi+verbs;ofi_rxm,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,22.21,22.70
4619165,ior_easy,2022-07-12 10:42:42,2022-07-12 10:48:33,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,21.45,28.08
4619168,ior_easy,2022-07-12 11:26:04,2022-07-12 11:31:55,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,22.05,32.79
4619116,ior_easy,2022-07-11 18:27:43,2022-07-11 18:33:57,69dec6b,ofi+verbs;ofi_rxm,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,42.64,45.09
4619166,ior_easy,2022-07-12 10:50:30,2022-07-12 10:56:31,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,24,32,,1,2M,150G,2M,131072,1,,Pass,60,42.45,52.04
4619169,ior_easy,2022-07-12 11:55:12,2022-07-12 12:01:20,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,42.39,52.12
4619173,ior_easy,2022-07-12 13:27:05,2022-07-12 13:32:47,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,24,32,,1,4M,150G,4M,131072,1,,Pass,60,41.17,54.55
4635223,ior_easy,2022-07-13 13:50:14,2022-07-13 13:56:01,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,43.73,60.82
4619117,ior_easy,2022-07-11 18:35:16,2022-07-11 18:41:08,69dec6b,ofi+verbs;ofi_rxm,SX,8,16,32,32,,1,1M,150G,1M,,1,,Pass,60,81.21,89.88
4619121,ior_easy,2022-07-11 19:09:16,2022-07-11 19:14:57,69dec6b,ofi+verbs;ofi_rxm,SX,8,16,16,32,,1,1M,150G,1M,,1,,Pass,60,77.85,88.75
4635224,ior_easy,2022-07-13 13:57:41,2022-07-13 14:03:11,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,40,32,,1,8M,150G,8M,131072,1,,Pass,60,85.06,98.17
4635225,ior_easy,2022-07-13 14:04:57,2022-07-13 14:10:25,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,86.34,87.48
4619167,ior_easy,2022-07-12 10:58:32,2022-07-12 11:05:28,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,48,32,,1,2M,150G,2M,131072,1,,Pass,60,81.74,111.31
4619170,ior_easy,2022-07-12 12:10:19,2022-07-12 12:16:10,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,70.46,109.33
4619174,ior_easy,2022-07-12 13:35:00,2022-07-12 13:41:06,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,48,32,,1,4M,150G,4M,131072,1,,Pass,60,74.54,107.84
4619176,ior_easy,2022-07-12 13:53:45,2022-07-12 13:59:15,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,71.17,97.45
4619118,ior_easy,2022-07-11 18:44:13,2022-07-11 18:52:28,69dec6b,ofi+verbs;ofi_rxm,SX,16,16,64,32,,1,1M,150G,1M,,1,,Pass,60,162.55,174.25
4619122,ior_easy,2022-07-11 19:16:17,2022-07-11 19:21:35,69dec6b,ofi+verbs;ofi_rxm,SX,16,16,16,32,,1,1M,150G,1M,,1,,Pass,60,133.02,141.99
4619177,ior_easy,2022-07-12 14:00:20,2022-07-12 14:05:42,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,18,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,111.84,112.20
4634662,ior_easy,2022-07-13 13:38:00,2022-07-13 13:42:51,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,18,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,109.12,121.13
4635228,ior_easy,2022-07-13 14:24:28,2022-07-13 14:29:14,69dec6b,ofi+verbs;ofi_rxm,EC_16P2GX,18,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,157.25,101.83
4635226,ior_easy,2022-07-13 14:12:01,2022-07-13 14:16:50,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,20,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,141.19,109.94
4619178,ior_easy,2022-07-12 14:23:44,2022-07-12 14:28:57,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,24,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,116.78,109.13
4634664,ior_easy,2022-07-13 13:44:08,2022-07-13 13:48:56,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,24,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,118.11,133.27
4635227,ior_easy,2022-07-13 14:18:00,2022-07-13 14:22:51,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,30,16,16,32,,1,8M,150G,8M,131072,1,,Pass,60,140.99,123.23
4634495,ior_easy,2022-07-13 11:53:23,2022-07-13 11:58:21,69dec6b,ofi+verbs;ofi_rxm,SX,32,16,16,32,,1,1M,150G,1M,,1,,Pass,60,177.18,161.02
4619179,ior_easy,2022-07-12 14:44:34,2022-07-12 14:49:44,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,36,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,116.59,120.01
4635229,ior_easy,2022-07-13 14:30:18,2022-07-13 14:35:10,69dec6b,ofi+verbs;ofi_rxm,EC_16P2GX,36,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,156.65,109.54
4619124,ior_easy,2022-07-11 19:31:25,2022-07-11 19:36:28,69dec6b,ofi+verbs;ofi_rxm,SX,64,16,16,32,,1,1M,150G,1M,,1,,Pass,60,172.81,156.97
4619125,ior_easy,2022-07-11 19:37:52,2022-07-11 19:43:18,69dec6b,ofi+verbs;ofi_rxm,SX,128,16,16,32,,1,1M,150G,1M,,1,,Pass,60,164.90,156.22
4619126,ior_hard,2022-07-11 19:44:31,2022-07-11 19:49:30,69dec6b,ofi+verbs;ofi_rxm,SX,1,16,4,32,,10000000,47008,47008,470080,,1,,Pass,60,11.18,11.30
4619131,ior_hard,2022-07-11 22:07:37,2022-07-11 22:12:38,69dec6b,ofi+verbs;ofi_rxm,SX,1,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,10.02,10.98
4619127,ior_hard,2022-07-11 19:52:01,2022-07-11 19:56:54,69dec6b,ofi+verbs;ofi_rxm,SX,2,16,8,32,,10000000,47008,47008,470080,,1,,Pass,60,21.83,22.16
4619132,ior_hard,2022-07-11 22:13:42,2022-07-11 22:18:40,69dec6b,ofi+verbs;ofi_rxm,SX,2,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,20.03,21.89
4619186,ior_hard,2022-07-12 16:16:31,2022-07-12 16:20:55,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,12,32,,2000000,47008,47008,470080,131072,1,,Pass,60,9.37,27.75
4633873,ior_hard,2022-07-13 09:31:53,2022-07-13 09:36:08,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,16,32,,2000000,47008,47008,470080,131072,1,,Pass,60,8.86,26.05
4619128,ior_hard,2022-07-11 20:14:07,2022-07-11 20:19:32,69dec6b,ofi+verbs;ofi_rxm,SX,4,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,41.31,43.23
4619187,ior_hard,2022-07-12 16:23:05,2022-07-12 16:27:36,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,24,32,,2000000,47008,47008,470080,131072,1,,Pass,60,16.41,46.10
4619190,ior_hard,2022-07-12 17:13:26,2022-07-12 17:17:45,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,6,16,16,32,,2000000,47008,47008,470080,131072,1,,Pass,60,17.60,51.32
4619196,ior_hard,2022-07-12 18:11:34,2022-07-12 18:15:44,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,6,16,16,32,,2000000,47008,47008,564096,131072,1,,Pass,60,8.66,52.82
4619129,ior_hard,2022-07-11 20:36:56,2022-07-11 20:42:19,69dec6b,ofi+verbs;ofi_rxm,SX,8,16,32,32,,10000000,47008,47008,470080,,1,,Pass,60,75.02,82.94
4619133,ior_hard,2022-07-11 22:19:56,2022-07-11 22:24:50,69dec6b,ofi+verbs;ofi_rxm,SX,8,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,76.17,81.02
4619202,ior_hard,2022-07-12 19:07:49,2022-07-12 19:11:50,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,16,32,,2000000,47008,47008,1081184,131072,1,,Pass,60,8.83,71.75
4635243,ior_hard,2022-07-13 14:36:49,2022-07-13 14:41:03,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,10,16,40,32,,2000000,47008,47008,1081184,131072,1,,Pass,60,7.70,58.42
4619188,ior_hard,2022-07-12 16:29:02,2022-07-12 16:33:56,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,48,32,,2000000,47008,47008,470080,131072,1,,Pass,60,30.57,78.57
4619191,ior_hard,2022-07-12 17:19:37,2022-07-12 17:23:58,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,12,16,16,32,,2000000,47008,47008,470080,131072,1,,Pass,60,30.04,87.95
4619197,ior_hard,2022-07-12 18:17:59,2022-07-12 18:22:15,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,16,32,,2000000,47008,47008,564096,131072,1,,Pass,60,17.79,82.69
4633874,ior_hard,2022-07-13 09:38:12,2022-07-13 09:42:31,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,12,16,48,32,,2000000,47008,47008,564096,131072,1,,Pass,60,15.05,95.57
4619130,ior_hard,2022-07-11 21:57:16,2022-07-11 22:03:34,69dec6b,ofi+verbs;ofi_rxm,SX,16,16,64,32,,10000000,47008,47008,470080,,1,,Pass,60,142.14,157.41
4619134,ior_hard,2022-07-11 22:26:03,2022-07-11 22:30:58,69dec6b,ofi+verbs;ofi_rxm,SX,16,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,98.59,109.73
4619192,ior_hard,2022-07-12 17:25:45,2022-07-12 17:30:09,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,18,16,16,32,,2000000,47008,47008,470080,131072,1,,Pass,60,38.80,97.95
4619198,ior_hard,2022-07-12 18:42:53,2022-07-12 18:47:22,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,18,16,16,32,,2000000,47008,47008,564096,131072,1,,Pass,60,23.89,92.25
4619205,ior_hard,2022-07-12 19:25:26,2022-07-12 19:29:33,69dec6b,ofi+verbs;ofi_rxm,EC_16P2GX,18,16,16,32,,2000000,47008,47008,2115360,131072,1,,Pass,60,9.39,81.68
4619203,ior_hard,2022-07-12 19:13:18,2022-07-12 19:17:31,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,20,16,16,32,,2000000,47008,47008,1081184,131072,1,,Pass,60,18.16,95.20
4619193,ior_hard,2022-07-12 17:31:53,2022-07-12 17:36:18,69dec6b,ofi+verbs;ofi_rxm,EC_2P1GX,24,16,16,32,,2000000,47008,47008,470080,131072,1,,Pass,60,45.17,101.34
4619199,ior_hard,2022-07-12 18:49:11,2022-07-12 18:53:34,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,24,16,16,32,,2000000,47008,47008,564096,131072,1,,Pass,60,28.91,94.23
4619204,ior_hard,2022-07-12 19:19:15,2022-07-12 19:23:35,69dec6b,ofi+verbs;ofi_rxm,EC_8P2GX,30,16,16,32,,2000000,47008,47008,1081184,131072,1,,Pass,60,24.79,95.60
4619135,ior_hard,2022-07-11 22:32:43,2022-07-11 22:37:40,69dec6b,ofi+verbs;ofi_rxm,SX,32,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,105.33,113.57
4619200,ior_hard,2022-07-12 18:55:19,2022-07-12 18:59:51,69dec6b,ofi+verbs;ofi_rxm,EC_4P2GX,36,16,16,32,,2000000,47008,47008,564096,131072,1,,Pass,60,36.09,95.20
