slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4109887,ior_easy,2022-02-28 13:47:02,2022-02-28 13:53:12,eb307af,ofi+verbs;ofi_rxm,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.41,11.38
4110718,ior_easy,2022-02-28 17:45:00,2022-02-28 17:50:14,eb307af,ofi+verbs;ofi_rxm,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.42,11.43
4212650,ior_easy,2022-04-04 13:14:46,2022-04-04 13:19:49,b91ee1e,ofi+verbs;ofi_rxm,SX,1,16,16,32,,1,1M,150G,1M,,1,,Pass,60,11.40,11.43
4212654,ior_easy,2022-04-04 13:14:48,2022-04-04 13:19:36,b91ee1e,ofi+verbs;ofi_rxm,SX,1,16,4,32,,1,1M,150G,1M,,1,,Pass,60,11.43,11.48
4109888,ior_easy,2022-02-28 13:50:56,2022-02-28 13:56:35,eb307af,ofi+verbs;ofi_rxm,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,22.23,22.67
4109897,ior_easy,2022-02-28 13:35:53,2022-02-28 13:41:21,eb307af,ofi+verbs;ofi_rxm,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.87,22.66
4212647,ior_easy,2022-04-04 13:14:45,2022-04-04 13:19:43,b91ee1e,ofi+verbs;ofi_rxm,SX,2,16,16,32,,1,1M,150G,1M,,1,,Pass,60,22.25,22.86
4212649,ior_easy,2022-04-04 13:14:46,2022-04-04 13:19:38,b91ee1e,ofi+verbs;ofi_rxm,SX,2,16,8,32,,1,1M,150G,1M,,1,,Pass,60,21.94,22.80
4113316,ior_easy,2022-03-02 00:50:57,2022-03-02 00:56:54,eb307af,ofi+verbs;ofi_rxm,SX,3,16,12,32,,1,2M,150G,1M,131072,1,,Pass,60,32.67,34.09
4113320,ior_easy,2022-03-02 03:54:39,2022-03-02 04:00:40,eb307af,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,22.02,32.19
4113322,ior_easy,2022-03-02 06:13:49,2022-03-02 06:20:51,eb307af,ofi+verbs;ofi_rxm,SX,3,16,16,32,,1,2M,150G,1M,131072,1,,Pass,60,32.29,33.74
4113323,ior_easy,2022-03-02 10:51:26,2022-03-02 10:57:22,eb307af,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,22.17,32.47
4215411,ior_easy,2022-04-12 18:43:11,2022-04-12 18:48:42,eb307af,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,131072,1,,Pass,60,22.43,33.08
4215414,ior_easy,2022-04-13 06:30:12,2022-04-13 06:35:38,eb307af,ofi+verbs;ofi_rxm,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,131072,1,,Pass,60,22.08,33.26
4109881,ior_easy,2022-02-28 13:35:53,2022-02-28 13:42:49,eb307af,ofi+verbs;ofi_rxm,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,42.50,44.97
4212655,ior_easy,2022-04-04 13:14:48,2022-04-04 13:20:12,b91ee1e,ofi+verbs;ofi_rxm,SX,4,16,16,32,,1,1M,150G,1M,,1,,Pass,60,42.68,44.93
