slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
4547939,mdtest_easy,2022-06-28 20:58:05,2022-06-28 21:04:44,c376183,ofi+verbs;ofi_rxm,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,526.53,763.03,0.00,239.28
4547944,mdtest_easy,2022-06-28 22:09:35,2022-06-28 22:16:19,c376183,ofi+verbs;ofi_rxm,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,471.41,624.10,0.00,222.60
4547940,mdtest_easy,2022-06-28 21:05:56,2022-06-28 21:12:35,c376183,ofi+verbs;ofi_rxm,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,997.41,1440.87,0.00,436.91
4547945,mdtest_easy,2022-06-28 22:17:08,2022-06-28 22:23:51,c376183,ofi+verbs;ofi_rxm,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,929.64,1258.15,0.00,425.74
4553576,mdtest_easy,2022-06-30 09:46:29,2022-06-30 09:50:42,c376183,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,328.61,1267.61,0.00,177.04
4553579,mdtest_easy,2022-06-30 12:38:42,2022-06-30 12:43:04,c376183,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,352.18,1189.10,0.00,182.01
4547941,mdtest_easy,2022-06-28 21:17:09,2022-06-28 21:24:18,c376183,ofi+verbs;ofi_rxm,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1935.05,2531.41,0.00,759.57
4553577,mdtest_easy,2022-06-30 10:39:08,2022-06-30 10:43:31,c376183,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,666.96,2033.82,0.00,336.83
4553580,mdtest_easy,2022-06-30 12:58:35,2022-06-30 13:02:49,c376183,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,592.93,2214.21,0.00,321.14
4553584,mdtest_easy,2022-06-30 14:24:52,2022-06-30 14:29:27,c376183,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,6,16,24,32,sw=30s,Pass,30,10000000,4M,0,0,470.22,1436.35,0.00,197.74
