slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
4109903,mdtest_easy,2022-02-28 12:58:15,2022-02-28 13:04:49,eb307af,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,501.14,729.35,0.00,258.90
4109905,mdtest_easy,2022-02-28 13:50:56,2022-02-28 13:57:44,eb307af,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,457.51,618.99,0.00,249.32
4109906,mdtest_easy,2022-02-28 13:50:56,2022-02-28 13:58:05,eb307af,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,948.27,1240.28,0.00,506.92
4109910,mdtest_easy,2022-02-28 13:47:02,2022-02-28 13:53:56,eb307af,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,968.26,1336.96,0.00,500.36
4118644,mdtest_easy,2022-03-03 13:00:57,2022-03-03 13:07:30,eb307af,S2,SX,3,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,1408.36,1396.68,0.00,297.10
4118645,mdtest_easy,2022-03-03 19:56:21,2022-03-03 20:01:11,eb307af,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,336.39,1584.03,0.00,170.60
4118652,mdtest_easy,2022-03-03 20:49:27,2022-03-03 20:54:16,eb307af,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,314.21,1630.16,0.00,166.05
4118657,mdtest_easy,2022-03-03 21:11:48,2022-03-03 21:18:09,eb307af,S2,SX,3,16,12,32,sw=30s,Pass,30,10000000,1M,0,0,1408.26,1509.89,0.00,307.83
4109919,mdtest_easy,2022-02-28 13:50:56,2022-02-28 13:57:50,eb307af,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1786.69,2510.42,0.00,979.83
4118640,mdtest_easy,2022-03-03 13:00:57,2022-03-03 13:05:51,eb307af,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,641.95,2613.46,0.00,310.86
4118641,mdtest_easy,2022-03-03 19:31:49,2022-03-03 19:38:36,eb307af,S2,SX,6,16,24,32,sw=30s,Pass,30,10000000,1M,0,0,2664.63,2619.31,0.00,561.52
4118650,mdtest_easy,2022-03-03 21:20:53,2022-03-03 21:29:17,eb307af,S4,SX,6,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,2613.72,1913.66,0.00,347.94
4118653,mdtest_easy,2022-03-03 21:25:28,2022-03-03 21:34:14,eb307af,S4,SX,6,16,24,32,sw=30s,Pass,30,10000000,1M,0,0,2665.11,1748.60,0.00,329.17
4118654,mdtest_easy,2022-03-03 21:20:53,2022-03-03 21:25:44,eb307af,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,571.36,2940.09,0.00,300.74
4118655,mdtest_easy,2022-03-03 21:25:28,2022-03-03 21:31:56,eb307af,S2,SX,6,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,2616.62,2775.29,0.00,560.55
4118669,mdtest_easy,2022-03-03 23:54:41,2022-03-03 23:59:38,eb307af,EC_4P2G1,RP_3GX,6,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,406.97,2539.20,0.00,186.44
4118675,mdtest_easy,2022-03-04 01:17:06,2022-03-04 01:21:53,eb307af,EC_4P2G1,RP_3GX,6,16,24,32,sw=30s,Pass,30,10000000,4M,0,0,449.74,2244.75,0.00,187.44
4109916,mdtest_easy,2022-02-28 14:06:37,2022-02-28 14:13:38,eb307af,S1,SX,8,16,32,32,,Pass,60,10000000,1M,0,0,3125.31,4306.72,0.00,1836.53
4109918,mdtest_easy,2022-02-28 14:02:29,2022-02-28 14:09:27,eb307af,S1,SX,8,16,16,32,,Pass,60,10000000,1M,0,0,3330.56,4472.56,0.00,1751.51
4118665,mdtest_easy,2022-03-03 21:38:57,2022-03-03 21:44:12,eb307af,EC_8P2G1,RP_3GX,10,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,560.20,3565.71,0.00,203.93
4118672,mdtest_easy,2022-03-04 01:00:08,2022-03-04 01:13:24,eb307af,S8,SX,10,16,40,32,sw=30s,Pass,30,10000000,1M,0,0,4101.42,1628.01,0.00,277.70
4118678,mdtest_easy,2022-03-04 02:50:52,2022-03-04 03:01:52,eb307af,S8,SX,10,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,3763.87,1912.05,0.00,310.97
4118680,mdtest_easy,2022-03-04 02:57:10,2022-03-04 03:03:14,eb307af,EC_8P2G1,RP_3GX,10,16,40,32,sw=30s,Pass,30,10000000,8M,0,0,706.54,2880.84,0.00,201.41
4118638,mdtest_easy,2022-03-03 13:00:57,2022-03-03 13:08:49,eb307af,S4,SX,12,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,4257.31,3458.78,0.00,603.21
4118642,mdtest_easy,2022-03-03 21:02:58,2022-03-03 21:07:45,eb307af,EC_2P1G1,RP_2GX,12,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,872.76,4479.15,0.00,507.28
4118646,mdtest_easy,2022-03-03 21:11:48,2022-03-03 21:17:13,eb307af,EC_2P1G1,RP_2GX,12,16,48,32,sw=30s,Pass,30,10000000,2M,0,0,1204.27,4048.94,0.00,550.42
4118651,mdtest_easy,2022-03-03 21:20:53,2022-03-03 21:28:12,eb307af,S2,SX,12,16,48,32,sw=30s,Pass,30,10000000,1M,0,0,4783.29,4438.60,0.00,980.20
4118656,mdtest_easy,2022-03-03 21:34:31,2022-03-03 21:43:47,eb307af,S4,SX,12,16,48,32,sw=30s,Pass,30,10000000,1M,0,0,4779.07,3108.11,0.00,578.59
4118667,mdtest_easy,2022-03-04 00:06:38,2022-03-04 00:12:06,eb307af,EC_4P2G1,RP_3GX,12,16,48,32,sw=30s,Pass,30,10000000,4M,0,0,827.04,3166.04,0.00,325.30
4118681,mdtest_easy,2022-03-04 02:50:52,2022-03-04 02:55:29,eb307af,EC_4P2G1,RP_3GX,12,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,619.76,3854.46,0.00,322.26
4121299,mdtest_easy,2022-03-04 12:52:29,2022-03-04 12:58:54,eb307af,S2,SX,12,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,4309.39,4670.01,0.00,896.57
4109902,mdtest_easy,2022-02-28 13:58:40,2022-02-28 14:09:30,eb307af,S1,SX,16,16,64,32,,Pass,60,10000000,1M,0,0,6145.19,7967.12,0.00,3409.82
4109924,mdtest_easy,2022-02-28 14:06:39,2022-02-28 14:13:17,eb307af,S1,SX,16,16,16,32,,Pass,60,10000000,1M,0,0,4296.55,6183.20,0.00,2759.84
4118648,mdtest_easy,2022-03-03 21:16:17,2022-03-03 21:20:53,eb307af,EC_2P1G1,RP_2GX,18,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,1068.78,5005.13,0.00,634.77
4118649,mdtest_easy,2022-03-03 21:16:17,2022-03-03 21:22:56,eb307af,S2,SX,18,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,5282.04,5567.17,0.00,1047.58
4118659,mdtest_easy,2022-03-03 21:38:57,2022-03-03 21:46:53,eb307af,S4,SX,18,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,5291.71,4449.60,0.00,765.57
4118668,mdtest_easy,2022-03-03 23:12:52,2022-03-03 23:18:44,eb307af,EC_16P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,16M,0,0,773.48,4018.97,0.00,205.38
4118671,mdtest_easy,2022-03-04 00:24:53,2022-03-04 00:40:17,eb307af,S16,SX,18,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,5160.05,1819.83,0.00,274.02
4118677,mdtest_easy,2022-03-04 02:41:05,2022-03-04 02:45:48,eb307af,EC_4P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,766.75,4287.05,0.00,415.78
4118670,mdtest_easy,2022-03-04 00:17:52,2022-03-04 00:28:04,eb307af,S8,SX,20,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,5435.28,3288.39,0.00,520.45
4118673,mdtest_easy,2022-03-04 02:31:05,2022-03-04 02:36:00,eb307af,EC_8P2G1,RP_3GX,20,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,821.02,4276.90,0.00,328.45
4118639,mdtest_easy,2022-03-03 13:00:57,2022-03-03 13:05:35,eb307af,EC_2P1G1,RP_2GX,24,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,1213.66,5195.45,0.00,724.83
4118643,mdtest_easy,2022-03-03 21:02:58,2022-03-03 21:09:36,eb307af,S2,SX,24,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,5874.16,6074.03,0.00,1171.76
4118661,mdtest_easy,2022-03-03 22:46:31,2022-03-03 22:54:27,eb307af,S4,SX,24,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,5833.26,5022.99,0.00,853.62
4118662,mdtest_easy,2022-03-03 22:50:39,2022-03-03 22:55:25,eb307af,EC_4P2G1,RP_3GX,24,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,906.12,4386.58,0.00,475.48
4118666,mdtest_easy,2022-03-03 23:12:52,2022-03-03 23:18:04,eb307af,EC_8P2G1,RP_3GX,30,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,989.00,4137.59,0.00,399.96
4118676,mdtest_easy,2022-03-04 02:17:07,2022-03-04 02:26:41,eb307af,S8,SX,30,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,6046.05,4085.71,0.00,637.67
4109925,mdtest_easy,2022-02-28 14:06:39,2022-02-28 14:12:50,eb307af,S1,SX,32,16,16,32,,Pass,60,10000000,1M,0,0,4263.85,6996.51,0.00,3606.99
4118660,mdtest_easy,2022-03-03 22:50:39,2022-03-03 22:58:32,eb307af,S4,SX,36,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,6216.54,5624.84,0.00,942.68
4118664,mdtest_easy,2022-03-03 23:03:46,2022-03-03 23:09:36,eb307af,EC_16P2G1,RP_3GX,36,16,16,32,sw=30s,Pass,30,10000000,16M,0,0,1085.26,4236.89,0.00,295.14
