slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3103820,mdtest_easy_1to4_s1,2021-06-15 15:36:23,2021-06-15 15:44:36,9fc56c0,S1,SX,1,4,32,,Pass,60,300000,1048576,0,0,0,454.27,709.49,1045.19,210.54
3103825,mdtest_easy_1to4_s1,2021-06-15 15:47:55,2021-06-15 15:56:16,9fc56c0,S1,SX,2,8,32,,Pass,60,300000,1048576,0,0,0,873.63,1398.03,2028.19,406.68
3103821,mdtest_easy_1to4_s1,2021-06-15 15:56:07,2021-06-15 16:05:31,9fc56c0,S1,SX,4,16,32,,Pass,60,300000,1048576,0,0,0,1719.14,2583.45,3773.39,758.49
3103819,mdtest_easy_1to4_s1,2021-06-15 18:09:09,2021-06-15 18:20:17,9fc56c0,S1,SX,8,32,32,,Pass,60,300000,1048576,0,0,0,3193.34,4382.72,5566.54,1391.84
3103823,mdtest_easy_c16_s1,2021-06-15 16:53:45,2021-06-15 17:02:01,9fc56c0,S1,SX,1,16,32,,Pass,60,1000000,1048576,0,0,0,429.88,615.63,860.94,216.89
3103827,mdtest_easy_c16_s1,2021-06-15 17:08:25,2021-06-15 17:16:57,9fc56c0,S1,SX,2,16,32,,Pass,60,1000000,1048576,0,0,0,857.86,1235.36,1758.69,400.74
3103828,mdtest_easy_c16_s1,2021-06-15 18:10:42,2021-06-15 18:20:17,9fc56c0,S1,SX,8,16,32,sw=50s,Pass,50,1000000,1048576,0,0,0,3195.90,4517.02,6756.01,1337.83
3103824,mdtest_easy_c16_s1,2021-06-15 18:13:52,2021-06-15 18:27:50,9fc56c0,S1,SX,16,16,32,,Pass,60,1000000,1048576,0,0,0,4975.75,5999.96,8869.76,1447.97
3103826,mdtest_easy_c16_s1,2021-06-15 18:09:09,2021-06-15 18:22:56,9fc56c0,S1,SX,32,16,32,,Pass,60,1000000,1048576,0,0,0,6068.03,6945.91,10969.42,2701.04
3103822,mdtest_easy_c16_s1,2021-06-15 18:09:09,2021-06-15 18:22:36,9fc56c0,S1,SX,64,16,32,,Pass,60,1000000,1048576,0,0,0,6587.52,7479.55,11938.71,3897.96
3105556,mdtest_hard_1to4_s1,2021-06-16 09:02:19,2021-06-16 09:08:33,9fc56c0,S1,SX,1,4,32,,Pass,60,200000,1048576,3901,3901,0/20,76.09,383.40,255.30,196.42
3105896,mdtest_hard_1to4_s1,2021-06-16 10:00:08,2021-06-16 10:06:35,9fc56c0,S1,SX,2,8,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,140.19,627.98,402.80,378.58
3105898,mdtest_hard_1to4_s1,2021-06-16 10:07:21,2021-06-16 10:13:32,9fc56c0,S1,SX,4,16,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,421.99,943.64,606.66,715.01
3105559,mdtest_hard_1to4_s1,2021-06-16 09:11:59,2021-06-16 09:19:59,9fc56c0,S1,SX,8,32,32,,Pass,60,200000,1048576,3901,3901,0/20,454.86,1564.16,1024.36,1381.70
3119233,mdtest_hard_c16_s1,2021-06-18 10:30:03,2021-06-18 10:35:12,9fc56c0,S1,SX,1,16,32,sw=40s,Pass,40,200000,1048576,3901,3901,0/20,129.82,353.88,226.37,229.22
3119070,mdtest_hard_c16_s1,2021-06-18 10:18:22,2021-06-18 10:25:50,9fc56c0,S1,SX,2,16,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,98.29,597.98,386.62,403.79
3105561,mdtest_hard_c16_s1,2021-06-16 09:11:59,2021-06-16 09:19:08,9fc56c0,S1,SX,8,16,32,,Pass,60,200000,1048576,3901,3901,0/20,696.20,1351.93,868.48,1270.80
3105557,mdtest_hard_c16_s1,2021-06-16 09:09:34,2021-06-16 09:17:21,9fc56c0,S1,SX,16,16,32,,Pass,60,200000,1048576,3901,3901,0/20,1009.44,1926.83,1154.47,2491.50
3105562,mdtest_hard_c16_s1,2021-06-16 09:11:59,2021-06-16 09:20:05,9fc56c0,S1,SX,32,16,32,,Pass,60,200000,1048576,3901,3901,0/20,1392.99,2360.76,1523.29,3589.33
3105895,mdtest_hard_c16_s1,2021-06-16 10:16:32,2021-06-16 10:23:36,9fc56c0,S1,SX,64,16,32,sw=50s,Pass,50,200000,1048576,3901,3901,0/20,1570.06,3885.28,2066.30,4376.90
