slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3540173,mdtest_easy,2021-09-22 18:41:22,2021-09-22 18:48:39,6f497ed,S1,SX,1,16,16,32,,Pass,60,1000000,1M,0,0,0,461.52,723.36,1065.63,282.85
3540185,mdtest_easy,2021-09-22 18:41:22,2021-09-22 18:48:14,6f497ed,S1,SX,1,16,4,32,,Pass,60,1000000,1M,0,0,0,504.34,811.53,1220.63,306.39
3540171,mdtest_easy,2021-09-22 18:32:23,2021-09-22 18:39:39,6f497ed,S1,SX,2,16,16,32,,Pass,60,1000000,1M,0,0,0,914.09,1447.74,2104.79,573.92
3540187,mdtest_easy,2021-09-22 18:41:22,2021-09-22 18:48:39,6f497ed,S1,SX,2,16,8,32,,Pass,60,1000000,1M,0,0,0,981.58,1536.83,2318.57,592.38
3546122,mdtest_easy,2021-09-24 15:26:33,2021-09-24 15:32:47,6f497ed,RP_2G1,RP_2GX,2,16,8,32,,Pass,60,1000000,1M,0,0,0,214.85,1186.49,2241.80,132.84
3546135,mdtest_easy,2021-09-24 17:14:38,2021-09-24 17:20:31,6f497ed,RP_2G1,RP_2GX,2,16,16,32,,Pass,60,1000000,1M,0,0,0,198.93,1159.42,2065.69,123.64
3553725,mdtest_easy,2021-09-27 11:45:50,2021-09-27 11:50:35,6f497ed,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,1000000,2M,0,0,0,287.47,1154.42,3303.15,146.39
3553738,mdtest_easy,2021-09-27 19:11:27,2021-09-27 19:17:53,6f497ed,S2,SX,3,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,1328.70,1655.27,3335.79,314.48
3553739,mdtest_easy,2021-09-27 11:24:09,2021-09-27 11:30:49,6f497ed,S2,SX,3,16,12,32,sw=30s,Pass,30,1000000,1M,0,0,0,1393.03,1705.82,3427.40,318.89
3553756,mdtest_easy,2021-09-27 18:09:01,2021-09-27 18:13:48,6f497ed,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,1000000,2M,0,0,0,282.21,1105.21,3335.82,148.38
3540199,mdtest_easy,2021-09-22 18:41:24,2021-09-22 18:48:57,6f497ed,S1,SX,4,16,16,32,,Pass,60,1000000,1M,0,0,0,1853.94,2884.97,4363.32,1125.52
3546128,mdtest_easy,2021-09-24 18:04:18,2021-09-24 18:10:30,6f497ed,RP_2G1,RP_2GX,4,16,16,32,,Pass,60,1000000,1M,0,0,0,412.46,2001.01,4251.93,258.95
3546160,mdtest_easy,2021-09-25 03:28:15,2021-09-25 03:33:56,6f497ed,RP_3G1,RP_3GX,4,16,16,32,,Pass,60,1000000,1M,0,0,0,201.28,1430.89,3210.58,136.72
3553730,mdtest_easy,2021-09-27 11:27:22,2021-09-27 11:36:08,6f497ed,S4,SX,6,16,12,32,sw=30s,Pass,30,1000000,1M,0,0,0,2489.57,2182.89,5814.13,308.49
3553731,mdtest_easy,2021-09-27 18:17:03,2021-09-27 18:21:53,6f497ed,EC_4P2G1,RP_3GX,6,16,12,32,sw=30s,Pass,30,1000000,4M,0,0,0,291.76,1418.03,5646.81,131.75
3553733,mdtest_easy,2021-09-27 18:40:23,2021-09-27 18:44:43,6f497ed,EC_2P1G1,RP_2GX,6,16,12,32,sw=30s,Pass,30,1000000,2M,0,0,0,410.62,1618.68,5603.63,251.66
3553744,mdtest_easy,2021-09-27 19:13:26,2021-09-27 19:20:18,6f497ed,S2,SX,6,16,12,32,sw=30s,Pass,30,1000000,1M,0,0,0,2460.19,3099.11,5890.47,553.02
3553751,mdtest_easy,2021-09-27 19:38:42,2021-09-27 19:43:25,6f497ed,EC_4P2G1,RP_3GX,6,16,16,32,sw=30s,Pass,30,1000000,4M,0,0,0,256.22,1422.74,5676.94,127.71
3553753,mdtest_easy,2021-09-27 19:45:58,2021-09-27 19:51:09,6f497ed,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,1000000,2M,0,0,0,408.36,1581.80,6019.64,247.97
3553754,mdtest_easy,2021-09-27 19:45:58,2021-09-27 19:53:24,6f497ed,S2,SX,6,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,2534.90,3201.22,6285.67,567.80
3553759,mdtest_easy,2021-09-27 19:47:53,2021-09-27 19:56:59,6f497ed,S4,SX,6,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,2519.62,2170.72,6225.65,300.82
3540189,mdtest_easy,2021-09-22 18:50:43,2021-09-22 18:58:57,6f497ed,S1,SX,8,16,16,32,,Pass,60,1000000,1M,0,0,0,3349.37,4865.51,7429.02,2004.88
3540191,mdtest_easy,2021-09-22 18:50:43,2021-09-22 18:59:05,6f497ed,S1,SX,8,16,32,32,,Pass,60,1000000,1M,0,0,0,3248.85,4964.09,7540.19,2105.61
3546120,mdtest_easy,2021-09-24 18:11:11,2021-09-24 18:17:27,6f497ed,RP_2G1,RP_2GX,8,16,32,32,,Pass,60,1000000,1M,0,0,0,618.88,2946.86,7557.19,419.24
3546136,mdtest_easy,2021-09-25 03:11:11,2021-09-25 03:17:20,6f497ed,RP_2G1,RP_2GX,8,16,16,32,,Pass,60,1000000,1M,0,0,0,662.50,2970.59,7322.90,434.79
3546138,mdtest_easy,2021-09-25 03:11:11,2021-09-25 03:17:03,6f497ed,RP_3G1,RP_3GX,8,16,16,32,,Pass,60,1000000,1M,0,0,0,385.00,2327.76,6207.06,262.54
3546150,mdtest_easy,2021-09-25 03:45:35,2021-09-25 03:51:36,6f497ed,RP_3G1,RP_3GX,8,16,32,32,,Pass,60,1000000,1M,0,0,0,317.20,1868.27,5277.81,231.07
3553729,mdtest_easy,2021-09-27 19:17:06,2021-09-27 19:30:25,6f497ed,S8,SX,10,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,3240.80,2006.03,7794.59,200.88
3553749,mdtest_easy,2021-09-27 19:26:22,,6f497ed,EC_8P2G1,RP_3GX,10,16,16,32,"did not finish,sw=30s",Fail,30,1000000,8M,0,0,0,,,,
3553735,mdtest_easy,2021-09-27 19:30:01,2021-09-27 19:37:16,6f497ed,S2,SX,12,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,4245.07,5251.41,9512.71,908.73
3553741,mdtest_easy,2021-09-27 19:30:01,2021-09-27 19:35:00,6f497ed,EC_4P2G1,RP_3GX,12,16,16,32,sw=30s,Pass,30,1000000,4M,0,0,0,595.83,2047.20,9036.39,264.30
3553748,mdtest_easy,2021-09-27 19:30:01,2021-09-27 19:34:47,6f497ed,EC_2P1G1,RP_2GX,12,16,16,32,sw=30s,Pass,30,1000000,2M,0,0,0,829.49,2188.31,9234.85,482.23
3553750,mdtest_easy,2021-09-27 19:35:13,2021-09-27 19:44:03,6f497ed,S4,SX,12,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,4124.12,3903.79,9451.93,575.59
3540193,mdtest_easy,2021-09-22 18:41:24,2021-09-22 18:50:35,6f497ed,S1,SX,16,16,16,32,,Pass,60,1000000,1M,0,0,0,4971.13,6419.72,9984.54,3091.03
3546131,mdtest_easy,2021-09-25 02:40:35,2021-09-25 02:46:30,6f497ed,RP_3G1,RP_3GX,16,16,16,32,,Pass,60,1000000,1M,0,0,0,602.37,2797.79,9305.81,442.95
3546162,mdtest_easy,2021-09-25 04:27:53,2021-09-25 04:34:14,6f497ed,RP_2G1,RP_2GX,16,16,16,32,,Pass,60,1000000,1M,0,0,0,1030.34,3985.95,9958.10,670.65
3553726,mdtest_easy,2021-09-27 19:22:46,2021-09-27 19:30:17,6f497ed,S2,SX,18,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,5026.04,4875.42,10597.71,1087.26
3553727,mdtest_easy,2021-09-27 19:24:35,,6f497ed,S16,SX,18,16,16,32,"did not finish,sw=30s",Fail,30,1000000,1M,0,0,0,,,,
3553732,mdtest_easy,2021-09-27 19:28:09,2021-09-27 19:36:47,6f497ed,S4,SX,18,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,4874.19,4554.92,10542.99,765.76
3553737,mdtest_easy,2021-09-27 19:26:22,2021-09-27 19:31:13,6f497ed,EC_2P1G1,RP_2GX,18,16,16,32,sw=30s,Pass,30,1000000,2M,0,0,0,1003.58,2653.47,10364.49,605.13
3553746,mdtest_easy,2021-09-27 19:38:42,2021-09-27 19:41:18,6f497ed,EC_4P2G1,RP_3GX,18,16,16,32,"did not finish,sw=30s",Fail,30,1000000,4M,0,0,0,,,,
3553747,mdtest_easy,2021-09-27 19:38:42,2021-09-27 19:46:13,6f497ed,EC_16P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,1000000,16M,0,0,0,726.47,2599.12,9542.17,102.35
3553736,mdtest_easy,2021-09-27 19:30:01,2021-09-27 19:42:21,6f497ed,S8,SX,20,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,4860.14,3499.11,10447.54,376.64
3553742,mdtest_easy,2021-09-27 19:33:30,2021-09-27 19:39:03,6f497ed,EC_8P2G1,RP_3GX,20,16,16,32,sw=30s,Pass,30,1000000,8M,0,0,0,836.42,2677.09,10156.94,247.51
3553728,mdtest_easy,2021-09-27 19:24:35,2021-09-27 19:33:24,6f497ed,S4,SX,24,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,5549.78,5641.42,11319.01,896.92
3553745,mdtest_easy,2021-09-27 19:35:13,2021-09-27 19:40:18,6f497ed,EC_4P2G1,RP_3GX,24,16,16,32,sw=30s,Pass,30,1000000,4M,0,0,0,989.00,2589.06,11044.26,452.48
3553752,mdtest_easy,2021-09-27 19:45:58,2021-09-27 19:53:57,6f497ed,S2,SX,24,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,5323.10,6718.35,11420.29,1223.26
3553755,mdtest_easy,2021-09-27 19:45:58,2021-09-27 19:51:24,6f497ed,EC_2P1G1,RP_2GX,24,16,16,32,sw=30s,Pass,30,1000000,2M,0,0,0,1195.58,3632.06,11150.85,723.66
3553734,mdtest_easy,2021-09-27 19:26:22,,6f497ed,S8,SX,30,16,16,32,"did not finish,sw=30s",Fail,30,1000000,1M,0,0,0,,,,
3553760,mdtest_easy,2021-09-27 19:47:53,2021-09-27 19:53:24,6f497ed,EC_8P2G1,RP_3GX,30,16,16,32,sw=30s,Pass,30,1000000,8M,0,0,0,1011.03,2521.47,10958.57,338.41
3540203,mdtest_easy,2021-09-22 18:50:43,2021-09-22 19:00:41,6f497ed,S1,SX,32,16,16,32,,Pass,60,1000000,1M,0,0,0,6446.78,7373.61,11505.32,3969.77
3546154,mdtest_easy,2021-09-25 05:41:01,2021-09-25 05:47:04,6f497ed,RP_3G1,RP_3GX,32,16,16,32,,Pass,60,1000000,1M,0,0,0,1069.88,4493.75,11173.56,723.28
3546161,mdtest_easy,2021-09-25 05:58:24,2021-09-25 06:04:48,6f497ed,RP_2G1,RP_2GX,32,16,16,32,,Pass,60,1000000,1M,0,0,0,1532.75,5536.22,11414.84,977.43
3553740,mdtest_easy,2021-09-27 19:26:22,,6f497ed,S16,SX,36,16,16,32,"did not finish,sw=30s",Fail,30,1000000,1M,0,0,0,,,,
3553743,mdtest_easy,2021-09-27 19:33:30,2021-09-27 19:38:40,6f497ed,EC_4P2G1,RP_3GX,36,16,16,32,sw=30s,Pass,30,1000000,4M,0,0,0,1237.60,3362.45,11458.90,564.18
3553757,mdtest_easy,2021-09-27 19:45:58,2021-09-27 19:54:55,6f497ed,S4,SX,36,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,5572.19,5738.57,11798.93,1002.77
3553758,mdtest_easy,2021-09-27 19:47:53,2021-09-27 19:55:18,6f497ed,EC_16P2G1,RP_3GX,36,16,16,32,sw=30s,Pass,30,1000000,16M,0,0,0,1244.13,3834.12,10871.08,188.88
3540201,mdtest_easy,2021-09-22 18:43:47,2021-09-22 18:53:55,6f497ed,S1,SX,64,16,16,32,,Pass,60,1000000,1M,0,0,0,6468.09,6703.81,10974.76,4202.43
3546149,mdtest_easy,2021-09-25 07:22:25,2021-09-25 07:29:37,6f497ed,RP_2G1,RP_2GX,64,16,16,32,,Pass,60,1000000,1M,0,0,0,2134.41,6188.87,11740.93,1278.09
3546156,mdtest_easy,2021-09-25 07:31:34,2021-09-25 07:38:26,6f497ed,RP_3G1,RP_3GX,64,16,16,32,,Pass,60,1000000,1M,0,0,0,1597.50,4597.69,11135.25,963.75
3542391,mdtest_hard,2021-09-23 11:13:21,2021-09-23 11:17:46,6f497ed,S1,SX,1,16,16,32,sw=30s,Pass,30,200000,1M,3901,3901,0/20,183.83,424.32,324.94,279.77
3542397,mdtest_hard,2021-09-23 10:58:21,2021-09-23 11:02:34,6f497ed,S1,SX,1,16,4,32,sw=30s,Pass,30,200000,1M,3901,3901,0/20,192.81,484.00,374.28,299.07
3542395,mdtest_hard,2021-09-23 11:05:42,2021-09-23 11:09:58,6f497ed,S1,SX,2,16,8,32,sw=30s,Pass,30,200000,1M,3901,3901,0/20,365.64,916.91,705.74,582.57
3542396,mdtest_hard,2021-09-23 11:27:55,2021-09-23 11:32:17,6f497ed,S1,SX,2,16,16,32,sw=30s,Pass,30,200000,1M,3901,3901,0/20,333.04,822.89,621.03,549.25
3546168,mdtest_hard,2021-09-25 04:53:17,2021-09-25 04:58:23,6f497ed,RP_2G1,RP_2GX,2,16,16,32,,Pass,60,200000,1M,3901,3901,0/20,98.74,873.53,588.68,130.57
3546174,mdtest_hard,2021-09-24 16:41:14,2021-09-24 16:46:12,6f497ed,RP_2G1,RP_2GX,2,16,8,32,,Pass,60,200000,1M,3901,3901,0/20,100.17,960.51,658.49,129.64
3554070,mdtest_hard,2021-09-27 18:44:08,2021-09-27 18:49:09,6f497ed,S2,SX,3,16,12,32,sw=30s,Pass,30,1000000,1M,3901,3901,0/20,499.15,935.49,924.40,282.95
