slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
3763771,mdtest_easy,2021-11-11 10:21:22,2021-11-11 10:28:25,6453a3e,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,485.36,637.43,966.30,273.56
3763782,mdtest_easy,2021-11-11 10:15:06,2021-11-11 10:21:39,6453a3e,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,522.64,751.01,1153.47,296.77
3763773,mdtest_easy,2021-11-11 10:29:28,2021-11-11 10:36:35,6453a3e,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,1016.81,1258.96,1907.56,544.53
3763777,mdtest_easy,2021-11-11 10:09:51,2021-11-11 10:16:26,6453a3e,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,1003.94,1407.53,2172.02,569.88
3769058,mdtest_easy,2021-11-12 18:59:49,2021-11-12 19:06:45,6453a3e,S2,SX,3,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,1489.85,1415.14,2978.52,294.92
3769064,mdtest_easy,2021-11-12 19:21:42,2021-11-12 19:26:35,6453a3e,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,280.15,1657.41,2865.93,128.33
3763772,mdtest_easy,2021-11-11 10:29:29,2021-11-11 10:36:35,6453a3e,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1925.74,2522.05,3998.08,1071.89
3769059,mdtest_easy,2021-11-12 19:04:32,2021-11-12 19:11:22,6453a3e,S2,SX,6,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,2715.03,2731.12,5650.27,551.63
3769065,mdtest_easy,2021-11-12 19:30:26,2021-11-12 19:35:14,6453a3e,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,458.69,2923.14,5527.72,217.78
3769069,mdtest_easy,2021-11-12 19:36:40,2021-11-12 19:47:07,6453a3e,S4,SX,6,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,2710.10,1803.55,5542.92,241.06
