slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
4318468,mdtest_easy,2022-05-09 16:20:24,2022-05-09 16:26:29,76685fb,ofi+verbs;ofi_rxm,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,488.03,688.27,0.00,279.94
4318473,mdtest_easy,2022-05-09 17:13:17,2022-05-09 17:19:29,76685fb,ofi+verbs;ofi_rxm,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,452.86,601.65,0.00,266.13
4318469,mdtest_easy,2022-05-09 16:27:06,2022-05-09 16:33:14,76685fb,ofi+verbs;ofi_rxm,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,942.54,1330.65,0.00,548.67
4318474,mdtest_easy,2022-05-09 17:20:25,2022-05-09 17:26:47,76685fb,ofi+verbs;ofi_rxm,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,955.95,1198.89,0.00,536.94
4320132,mdtest_easy,2022-05-10 02:33:08,2022-05-10 02:37:16,76685fb,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,311.59,1647.58,0.00,170.31
4320135,mdtest_easy,2022-05-10 02:49:52,2022-05-10 02:54:07,76685fb,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,332.08,1513.72,0.00,174.13
4318470,mdtest_easy,2022-05-09 16:34:00,2022-05-09 16:40:16,76685fb,ofi+verbs;ofi_rxm,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1820.79,2442.74,0.00,1048.68
4320133,mdtest_easy,2022-05-10 02:38:20,2022-05-10 02:42:41,76685fb,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,634.07,2618.42,0.00,317.05
4320136,mdtest_easy,2022-05-10 02:55:06,2022-05-10 02:59:15,76685fb,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,566.71,2922.86,0.00,306.36
4320140,mdtest_easy,2022-05-10 03:22:16,2022-05-10 03:26:49,76685fb,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,6,16,24,32,sw=30s,Pass,30,10000000,4M,0,0,449.97,2340.57,0.00,188.21
