slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
4656039,mdtest_easy,2022-07-15 21:15:01,2022-07-15 21:21:07,1fc0a4c,ofi+verbs;ofi_rxm,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,515.33,745.89,0.00,302.16
4656044,mdtest_easy,2022-07-16 03:18:04,2022-07-16 03:24:29,1fc0a4c,ofi+verbs;ofi_rxm,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,472.80,608.59,0.00,272.77
4656040,mdtest_easy,2022-07-15 21:22:26,2022-07-15 21:28:37,1fc0a4c,ofi+verbs;ofi_rxm,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,1006.72,1395.86,0.00,576.16
4656045,mdtest_easy,2022-07-16 03:26:05,2022-07-16 03:32:32,1fc0a4c,ofi+verbs;ofi_rxm,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,955.08,1233.94,0.00,551.03
4667096,mdtest_easy,2022-07-18 11:51:02,2022-07-18 11:55:24,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,325.26,1745.36,0.00,176.14
4667099,mdtest_easy,2022-07-18 12:11:43,2022-07-18 12:15:58,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,348.86,1616.16,0.00,180.33
4656041,mdtest_easy,2022-07-15 21:36:09,2022-07-15 21:42:37,1fc0a4c,ofi+verbs;ofi_rxm,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1864.61,2524.43,0.00,1098.54
4667097,mdtest_easy,2022-07-18 11:59:46,2022-07-18 12:04:11,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,664.48,2716.25,0.00,332.24
4667100,mdtest_easy,2022-07-18 12:18:10,2022-07-18 12:22:22,1fc0a4c,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,589.71,2953.59,0.00,320.25
4667104,mdtest_easy,2022-07-18 12:38:26,2022-07-18 12:43:12,1fc0a4c,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,6,16,24,32,sw=30s,Pass,30,10000000,4M,0,0,468.41,2529.05,0.00,196.68
