slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
4237750,mdtest_easy,2022-04-14 02:09:43,2022-04-14 02:15:54,7eb7fd4,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,487.39,722.19,0.00,284.72
4237756,mdtest_easy,2022-04-14 03:12:54,2022-04-14 03:19:15,7eb7fd4,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,462.66,625.09,0.00,270.47
4237752,mdtest_easy,2022-04-14 02:22:22,2022-04-14 02:28:36,7eb7fd4,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,956.46,1375.95,0.00,556.88
4237757,mdtest_easy,2022-04-14 03:21:12,2022-04-14 03:27:42,7eb7fd4,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,940.56,1232.02,0.00,542.19
4239800,mdtest_easy,2022-04-14 19:05:42,2022-04-14 19:10:07,7eb7fd4,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,314.41,1704.76,0.00,171.02
4239804,mdtest_easy,2022-04-14 21:42:54,2022-04-14 21:47:11,7eb7fd4,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,335.57,1599.13,0.00,174.67
4237753,mdtest_easy,2022-04-14 02:30:14,2022-04-14 02:36:52,7eb7fd4,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1846.81,2476.48,0.00,1060.31
4239802,mdtest_easy,2022-04-14 19:11:24,2022-04-14 19:16:02,7eb7fd4,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,646.20,2735.99,0.00,318.81
4239805,mdtest_easy,2022-04-14 22:27:44,2022-04-14 22:32:06,7eb7fd4,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,577.31,3041.09,0.00,311.95
4239810,mdtest_easy,2022-04-14 22:57:04,2022-04-14 23:01:32,7eb7fd4,EC_4P2G1,RP_3GX,6,16,24,32,sw=30s,Pass,30,10000000,4M,0,0,451.21,2521.13,0.00,193.28
4239812,mdtest_easy,2022-04-14 23:09:12,2022-04-14 23:13:41,7eb7fd4,EC_4P2G1,RP_3GX,6,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,408.24,2764.22,0.00,191.57
4237754,mdtest_easy,2022-04-14 02:38:09,2022-04-14 02:44:50,7eb7fd4,S1,SX,8,16,32,32,,Pass,60,10000000,1M,0,0,3543.11,4309.24,0.00,1951.12
4237758,mdtest_easy,2022-04-14 03:43:32,2022-04-14 03:49:42,7eb7fd4,S1,SX,8,16,16,32,,Pass,60,10000000,1M,0,0,3317.14,4476.56,0.00,1913.53
4239817,mdtest_easy,2022-04-14 23:54:51,2022-04-15 00:00:25,7eb7fd4,EC_8P2G1,RP_3GX,10,16,40,32,sw=30s,Pass,30,10000000,8M,0,0,716.22,3263.21,0.00,200.30
4239818,mdtest_easy,2022-04-15 00:40:37,2022-04-15 00:45:11,7eb7fd4,EC_8P2G1,RP_3GX,10,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,563.92,3781.37,0.00,210.51
4239803,mdtest_easy,2022-04-14 21:14:09,2022-04-14 21:19:18,7eb7fd4,EC_2P1G1,RP_2GX,12,16,48,32,sw=30s,Pass,30,10000000,2M,0,0,1213.41,4286.99,0.00,577.80
4239807,mdtest_easy,2022-04-14 22:34:09,2022-04-14 22:38:19,7eb7fd4,EC_2P1G1,RP_2GX,12,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,878.17,4590.50,0.00,523.22
4239811,mdtest_easy,2022-04-14 23:02:42,2022-04-14 23:07:51,7eb7fd4,EC_4P2G1,RP_3GX,12,16,48,32,sw=30s,Pass,30,10000000,4M,0,0,835.49,3509.87,0.00,334.69
4239813,mdtest_easy,2022-04-14 23:15:03,2022-04-14 23:19:15,7eb7fd4,EC_4P2G1,RP_3GX,12,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,627.07,4097.82,0.00,333.11
4237755,mdtest_easy,2022-04-14 02:46:55,2022-04-14 02:57:06,7eb7fd4,S1,SX,16,16,64,32,,Pass,60,10000000,1M,0,0,6515.96,7793.61,0.00,3552.23
4237759,mdtest_easy,2022-04-14 04:00:32,2022-04-14 04:06:56,7eb7fd4,S1,SX,16,16,16,32,,Pass,60,10000000,1M,0,0,5171.07,6246.01,0.00,2968.84
4239808,mdtest_easy,2022-04-14 22:39:38,2022-04-14 22:43:46,7eb7fd4,EC_2P1G1,RP_2GX,18,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,1085.67,5164.49,0.00,660.56
4239814,mdtest_easy,2022-04-14 23:21:02,2022-04-14 23:25:13,7eb7fd4,EC_4P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,791.02,4496.57,0.00,434.42
4239821,mdtest_easy,2022-04-15 01:13:30,2022-04-15 01:18:47,7eb7fd4,EC_16P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,16M,0,0,790.47,4406.47,0.00,209.72
4239819,mdtest_easy,2022-04-15 01:01:16,2022-04-15 01:05:50,7eb7fd4,EC_8P2G1,RP_3GX,20,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,834.43,4508.40,0.00,343.55
4239809,mdtest_easy,2022-04-14 22:47:08,2022-04-14 22:51:13,7eb7fd4,EC_2P1G1,RP_2GX,24,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,1239.59,5333.13,0.00,763.09
4239815,mdtest_easy,2022-04-14 23:26:49,2022-04-14 23:31:12,7eb7fd4,EC_4P2G1,RP_3GX,24,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,917.46,4588.87,0.00,486.02
4239820,mdtest_easy,2022-04-15 01:07:04,2022-04-15 01:11:40,7eb7fd4,EC_8P2G1,RP_3GX,30,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,1021.99,4629.02,0.00,416.40
4237760,mdtest_easy,2022-04-14 04:08:00,2022-04-14 04:14:30,7eb7fd4,S1,SX,32,16,16,32,,Pass,60,10000000,1M,0,0,6629.21,7154.65,0.00,3870.15
4239816,mdtest_easy,2022-04-14 23:32:40,2022-04-14 23:36:59,7eb7fd4,EC_4P2G1,RP_3GX,36,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,1106.07,4539.55,0.00,610.82
4239822,mdtest_easy,2022-04-15 01:20:04,2022-04-15 01:25:14,7eb7fd4,EC_16P2G1,RP_3GX,36,16,16,32,sw=30s,Pass,30,10000000,16M,0,0,1103.31,4501.78,0.00,299.65
4237762,mdtest_easy,2022-04-14 04:16:00,2022-04-14 04:22:32,7eb7fd4,S1,SX,64,16,16,32,,Pass,60,10000000,1M,0,0,7120.54,7419.64,0.00,4347.63
4237763,mdtest_easy,2022-04-14 04:24:31,2022-04-14 04:30:56,7eb7fd4,S1,SX,128,16,16,32,,Pass,60,10000000,1M,0,0,6591.07,7464.45,0.00,4572.34
4237738,mdtest_hard,2022-04-14 00:25:09,2022-04-14 00:29:18,7eb7fd4,S1,SX,1,16,4,32,sw=30s,Pass,30,10000000,1M,3901,3901,195.99,438.08,341.10,284.69
4237743,mdtest_hard,2022-04-14 01:03:25,2022-04-14 01:07:45,7eb7fd4,S1,SX,1,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,174.55,387.90,291.32,266.77
4237739,mdtest_hard,2022-04-14 00:32:11,2022-04-14 00:36:46,7eb7fd4,S1,SX,2,16,8,32,sw=30s,Pass,30,10000000,1M,3901,3901,368.83,840.18,636.68,552.62
4237744,mdtest_hard,2022-04-14 01:09:26,2022-04-14 01:13:51,7eb7fd4,S1,SX,2,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,337.17,762.71,571.60,530.20
4239776,mdtest_hard,2022-04-14 14:02:45,2022-04-14 14:06:46,7eb7fd4,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,3901,3901,156.07,1137.54,766.70,159.40
4239780,mdtest_hard,2022-04-14 14:20:19,2022-04-14 14:24:24,7eb7fd4,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,3901,3901,161.04,1068.18,737.67,159.87
4237740,mdtest_hard,2022-04-14 00:38:47,2022-04-14 00:43:10,7eb7fd4,S1,SX,4,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,651.82,1471.24,1090.65,1018.08
4239778,mdtest_hard,2022-04-14 14:08:05,2022-04-14 14:12:22,7eb7fd4,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,3901,3901,287.45,1999.62,1368.92,291.95
4239782,mdtest_hard,2022-04-14 14:25:44,2022-04-14 14:29:48,7eb7fd4,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,3901,3901,267.33,2062.71,1410.82,282.29
4239787,mdtest_hard,2022-04-14 14:47:56,2022-04-14 14:52:07,7eb7fd4,EC_4P2G1,RP_3GX,6,16,24,32,sw=30s,Pass,30,10000000,4M,3901,3901,194.50,1719.88,1323.55,171.22
4239789,mdtest_hard,2022-04-14 16:56:52,2022-04-14 17:00:49,7eb7fd4,EC_4P2G1,RP_3GX,6,16,16,32,sw=30s,Pass,30,10000000,4M,3901,3901,183.71,1733.53,1401.57,170.08
4237741,mdtest_hard,2022-04-14 00:44:21,2022-04-14 00:48:53,7eb7fd4,S1,SX,8,16,32,32,sw=30s,Pass,30,10000000,1M,3901,3901,1124.13,2633.70,1950.44,1846.26
4237745,mdtest_hard,2022-04-14 01:35:36,2022-04-14 01:40:00,7eb7fd4,S1,SX,8,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,1244.93,2858.91,2142.93,1880.15
4239794,mdtest_hard,2022-04-14 17:54:48,2022-04-14 17:59:34,7eb7fd4,EC_8P2G1,RP_3GX,10,16,40,32,sw=30s,Pass,30,10000000,8M,3901,3901,277.22,3195.72,2062.28,176.78
4239795,mdtest_hard,2022-04-14 18:00:49,2022-04-14 18:05:00,7eb7fd4,EC_8P2G1,RP_3GX,10,16,16,32,sw=30s,Pass,30,10000000,8M,3901,3901,252.44,2576.26,2235.04,183.99
4239779,mdtest_hard,2022-04-14 14:14:12,2022-04-14 14:18:51,7eb7fd4,EC_2P1G1,RP_2GX,12,16,48,32,sw=30s,Pass,30,10000000,2M,3901,3901,481.37,3862.18,2507.93,521.78
4239783,mdtest_hard,2022-04-14 14:31:05,2022-04-14 14:35:01,7eb7fd4,EC_2P1G1,RP_2GX,12,16,16,32,sw=30s,Pass,30,10000000,2M,3901,3901,413.53,3636.31,2624.75,483.53
4239788,mdtest_hard,2022-04-14 16:50:44,2022-04-14 16:55:19,7eb7fd4,EC_4P2G1,RP_3GX,12,16,48,32,sw=30s,Pass,30,10000000,4M,3901,3901,316.72,3594.17,2557.04,287.54
4239790,mdtest_hard,2022-04-14 17:05:28,2022-04-14 17:09:20,7eb7fd4,EC_4P2G1,RP_3GX,12,16,16,32,sw=30s,Pass,30,10000000,4M,3901,3901,280.83,3019.97,2553.10,294.59
4237742,mdtest_hard,2022-04-14 00:53:06,2022-04-14 00:59:48,7eb7fd4,S1,SX,16,16,64,32,"did not finish,sw=30s",Fail,30,10000000,1M,3901,3901,,,,
4237746,mdtest_hard,2022-04-14 01:42:34,2022-04-14 01:47:02,7eb7fd4,S1,SX,16,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,2062.44,4679.88,3512.70,2969.81
4239784,mdtest_hard,2022-04-14 14:36:26,2022-04-14 14:40:23,7eb7fd4,EC_2P1G1,RP_2GX,18,16,16,32,sw=30s,Pass,30,10000000,2M,3901,3901,493.26,4643.78,3451.13,601.71
4239791,mdtest_hard,2022-04-14 17:10:48,2022-04-14 17:14:38,7eb7fd4,EC_4P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,4M,3901,3901,344.19,4025.86,3315.74,370.88
4239798,mdtest_hard,2022-04-14 18:17:30,2022-04-14 18:21:49,7eb7fd4,EC_16P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,16M,3901,3901,338.65,3956.99,3304.04,183.29
4239796,mdtest_hard,2022-04-14 18:06:09,2022-04-14 18:10:21,7eb7fd4,EC_8P2G1,RP_3GX,20,16,16,32,sw=30s,Pass,30,10000000,8M,3901,3901,358.37,4312.34,3435.12,278.11
4239786,mdtest_hard,2022-04-14 14:42:35,2022-04-14 14:46:31,7eb7fd4,EC_2P1G1,RP_2GX,24,16,16,32,sw=30s,Pass,30,10000000,2M,3901,3901,580.38,5448.66,3990.51,729.47
4239792,mdtest_hard,2022-04-14 17:42:46,2022-04-14 17:46:38,7eb7fd4,EC_4P2G1,RP_3GX,24,16,16,32,sw=30s,Pass,30,10000000,4M,3901,3901,404.17,4884.59,3869.88,435.60
4239797,mdtest_hard,2022-04-14 18:11:34,2022-04-14 18:15:43,7eb7fd4,EC_8P2G1,RP_3GX,30,16,16,32,sw=30s,Pass,30,10000000,8M,3901,3901,441.46,5459.52,4286.50,354.34
4237747,mdtest_hard,2022-04-14 01:49:00,2022-04-14 01:53:44,7eb7fd4,S1,SX,32,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,2738.52,5846.78,4495.10,3856.13
4239793,mdtest_hard,2022-04-14 17:48:06,2022-04-14 17:51:57,7eb7fd4,EC_4P2G1,RP_3GX,36,16,16,32,sw=30s,Pass,30,10000000,4M,3901,3901,490.57,5909.11,4557.98,561.68
4239799,mdtest_hard,2022-04-14 18:23:12,2022-04-14 18:27:40,7eb7fd4,EC_16P2G1,RP_3GX,36,16,16,32,sw=30s,Pass,30,10000000,16M,3901,3901,474.73,5724.82,4480.54,261.41
4237748,mdtest_hard,2022-04-14 01:57:27,2022-04-14 02:02:03,7eb7fd4,S1,SX,64,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,2807.41,6307.05,4910.00,4357.31
4243961,mdtest_hard,2022-04-15 16:17:51,2022-04-15 16:22:07,7eb7fd4,S1,SX,128,16,16,32,sw=30s,Pass,30,10000000,1M,3901,3901,2171.56,6925.66,5539.19,4690.89
