slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
4634573,mdtest_easy,2022-07-13 12:19:06,2022-07-13 12:25:35,69dec6b,ofi+verbs;ofi_rxm,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,519.16,751.15,0.00,242.42
4634578,mdtest_easy,2022-07-13 13:04:56,2022-07-13 13:11:45,69dec6b,ofi+verbs;ofi_rxm,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,489.13,635.61,0.00,228.59
4619151,mdtest_easy,2022-07-12 06:13:27,2022-07-12 06:20:05,69dec6b,ofi+verbs;ofi_rxm,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,1004.20,1430.07,0.00,442.63
4619157,mdtest_easy,2022-07-12 07:31:01,2022-07-12 07:38:06,69dec6b,ofi+verbs;ofi_rxm,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,970.48,1267.28,0.00,425.46
4620810,mdtest_easy,2022-07-12 19:37:14,2022-07-12 19:41:51,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,327.34,1268.90,0.00,177.08
4620815,mdtest_easy,2022-07-12 20:00:12,2022-07-12 20:04:49,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,350.78,1204.63,0.00,182.43
4634575,mdtest_easy,2022-07-13 12:35:15,2022-07-13 12:42:26,69dec6b,ofi+verbs;ofi_rxm,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1871.56,2539.53,0.00,766.92
4620812,mdtest_easy,2022-07-12 19:44:22,2022-07-12 19:49:08,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,669.63,2094.99,0.00,332.13
4620816,mdtest_easy,2022-07-12 20:06:45,2022-07-12 20:11:23,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,595.00,2221.01,0.00,322.51
4620820,mdtest_easy,2022-07-12 20:32:25,2022-07-12 20:37:10,69dec6b,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,6,16,24,32,sw=30s,Pass,30,10000000,4M,0,0,464.80,1378.68,0.00,198.08
4620822,mdtest_easy,2022-07-12 20:45:51,2022-07-12 20:50:22,69dec6b,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,6,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,425.95,1563.51,0.00,199.25
4634576,mdtest_easy,2022-07-13 12:43:49,2022-07-13 12:51:09,69dec6b,ofi+verbs;ofi_rxm,S1,SX,8,16,32,32,,Pass,60,10000000,1M,0,0,3545.76,4402.13,0.00,1399.23
4634580,mdtest_easy,2022-07-13 13:21:17,2022-07-13 13:28:24,69dec6b,ofi+verbs;ofi_rxm,S1,SX,8,16,16,32,,Pass,60,10000000,1M,0,0,3472.77,4604.18,0.00,1371.53
4620828,mdtest_easy,2022-07-12 21:16:21,2022-07-12 21:22:18,69dec6b,ofi+verbs;ofi_rxm,EC_8P2G1,RP_3GX,10,16,40,32,sw=30s,Pass,30,10000000,8M,0,0,730.76,1228.35,0.00,201.68
4620829,mdtest_easy,2022-07-12 21:24:02,2022-07-12 21:29:02,69dec6b,ofi+verbs;ofi_rxm,EC_8P2G1,RP_3GX,10,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,579.76,1543.92,0.00,215.27
4620813,mdtest_easy,2022-07-12 19:53:43,2022-07-12 19:58:44,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,12,16,48,32,sw=30s,Pass,30,10000000,2M,0,0,1212.30,3078.08,0.00,590.49
4620817,mdtest_easy,2022-07-12 20:13:23,2022-07-12 20:17:39,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,12,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,904.29,3725.79,0.00,547.66
4620821,mdtest_easy,2022-07-12 20:38:45,2022-07-12 20:44:07,69dec6b,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,12,16,48,32,sw=30s,Pass,30,10000000,4M,0,0,852.11,1979.59,0.00,334.81
4620823,mdtest_easy,2022-07-12 20:52:03,2022-07-12 20:56:23,69dec6b,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,12,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,646.64,2559.84,0.00,343.71
4619155,mdtest_easy,2022-07-12 06:57:02,2022-07-12 07:07:42,69dec6b,ofi+verbs;ofi_rxm,S1,SX,16,16,64,32,,Pass,60,10000000,1M,0,0,5913.47,7595.07,0.00,2763.79
4634581,mdtest_easy,2022-07-13 13:29:33,2022-07-13 13:36:39,69dec6b,ofi+verbs;ofi_rxm,S1,SX,16,16,16,32,,Pass,60,10000000,1M,0,0,5446.97,6397.81,0.00,2588.35
4620818,mdtest_easy,2022-07-12 20:19:25,2022-07-12 20:23:54,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,18,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,1117.57,4469.85,0.00,694.14
4620824,mdtest_easy,2022-07-12 20:57:57,2022-07-12 21:02:12,69dec6b,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,813.74,3244.98,0.00,456.84
4620832,mdtest_easy,2022-07-12 21:44:50,2022-07-12 21:50:35,69dec6b,ofi+verbs;ofi_rxm,EC_16P2G1,RP_3GX,18,16,16,32,sw=30s,Pass,30,10000000,16M,0,0,810.22,1520.66,0.00,215.61
4620830,mdtest_easy,2022-07-12 21:31:08,2022-07-12 21:35:53,69dec6b,ofi+verbs;ofi_rxm,EC_8P2G1,RP_3GX,20,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,859.89,2521.68,0.00,353.22
4620819,mdtest_easy,2022-07-12 20:26:00,2022-07-12 20:30:32,69dec6b,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,24,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,1287.50,4805.32,0.00,793.00
4620825,mdtest_easy,2022-07-12 21:03:50,2022-07-12 21:08:09,69dec6b,ofi+verbs;ofi_rxm,EC_4P2G1,RP_3GX,24,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,945.15,3604.91,0.00,505.33
4620831,mdtest_easy,2022-07-12 21:38:04,2022-07-12 21:43:06,69dec6b,ofi+verbs;ofi_rxm,EC_8P2G1,RP_3GX,30,16,16,32,sw=30s,Pass,30,10000000,8M,0,0,1052.50,2283.01,0.00,424.21
