slurm_job_id,test_case,start_time,end_time,daos_commit,provider,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
4109903,mdtest_easy,2022-02-28 12:58:15,2022-02-28 13:04:49,eb307af,ofi+verbs;ofi_rxm,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,501.14,729.35,0.00,258.90
4109905,mdtest_easy,2022-02-28 13:50:56,2022-02-28 13:57:44,eb307af,ofi+verbs;ofi_rxm,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,457.51,618.99,0.00,249.32
4213095,mdtest_easy,2022-04-04 18:16:54,2022-04-04 18:23:08,b91ee1e,ofi+verbs;ofi_rxm,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,488.06,747.95,0.00,289.88
4213101,mdtest_easy,2022-04-04 18:59:44,2022-04-04 19:06:21,b91ee1e,ofi+verbs;ofi_rxm,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,461.86,627.60,0.00,270.52
4109906,mdtest_easy,2022-02-28 13:50:56,2022-02-28 13:58:05,eb307af,ofi+verbs;ofi_rxm,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,948.27,1240.28,0.00,506.92
4109910,mdtest_easy,2022-02-28 13:47:02,2022-02-28 13:53:56,eb307af,ofi+verbs;ofi_rxm,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,968.26,1336.96,0.00,500.36
4213096,mdtest_easy,2022-04-04 18:23:57,2022-04-04 18:30:09,b91ee1e,ofi+verbs;ofi_rxm,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,938.92,1386.34,0.00,557.14
4213102,mdtest_easy,2022-04-04 19:07:06,2022-04-04 19:13:33,b91ee1e,ofi+verbs;ofi_rxm,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,916.37,1224.29,0.00,538.22
4118644,mdtest_easy,2022-03-03 13:00:57,2022-03-03 13:07:30,eb307af,ofi+verbs;ofi_rxm,S2,SX,3,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,1408.36,1396.68,0.00,297.10
4118645,mdtest_easy,2022-03-03 19:56:21,2022-03-03 20:01:11,eb307af,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,336.39,1584.03,0.00,170.60
4118652,mdtest_easy,2022-03-03 20:49:27,2022-03-03 20:54:16,eb307af,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,314.21,1630.16,0.00,166.05
4118657,mdtest_easy,2022-03-03 21:11:48,2022-03-03 21:18:09,eb307af,ofi+verbs;ofi_rxm,S2,SX,3,16,12,32,sw=30s,Pass,30,10000000,1M,0,0,1408.26,1509.89,0.00,307.83
4215474,mdtest_easy,2022-04-13 13:45:28,2022-04-13 13:49:48,eb307af,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,317.05,1726.27,0.00,166.50
4215477,mdtest_easy,2022-04-13 14:04:07,2022-04-13 14:08:30,eb307af,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,340.54,1620.67,0.00,170.99
4109919,mdtest_easy,2022-02-28 13:50:56,2022-02-28 13:57:50,eb307af,ofi+verbs;ofi_rxm,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1786.69,2510.42,0.00,979.83
4213097,mdtest_easy,2022-04-04 18:30:57,2022-04-04 18:37:11,b91ee1e,ofi+verbs;ofi_rxm,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1642.60,2511.60,0.00,1056.30
4213103,mdtest_easy,2022-04-04 19:14:30,2022-04-04 19:20:38,b91ee1e,ofi+verbs;ofi_rxm,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1640.82,2495.22,0.00,1057.89
4118640,mdtest_easy,2022-03-03 13:00:57,2022-03-03 13:05:51,eb307af,ofi+verbs;ofi_rxm,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,641.95,2613.46,0.00,310.86
4118641,mdtest_easy,2022-03-03 19:31:49,2022-03-03 19:38:36,eb307af,ofi+verbs;ofi_rxm,S2,SX,6,16,24,32,sw=30s,Pass,30,10000000,1M,0,0,2664.63,2619.31,0.00,561.52
